codepoint,value,subnormal
0x00,0x0p+0, 
0x01,0x0.2p-4,*
0x02,0x0.4p-4,*
0x03,0x0.6p-4,*
0x04,0x0.8p-4,*
0x05,0x0.ap-4,*
0x06,0x0.cp-4,*
0x07,0x0.ep-4,*
0x08,0x0.1p+0,*
0x09,0x0.12p+0,*
0x0a,0x0.14p+0,*
0x0b,0x0.16p+0,*
0x0c,0x0.18p+0,*
0x0d,0x0.1ap+0,*
0x0e,0x0.1cp+0,*
0x0f,0x0.1ep+0,*
0x10,0x0.2p+0,*
0x11,0x0.22p+0,*
0x12,0x0.24p+0,*
0x13,0x0.26p+0,*
0x14,0x0.28p+0,*
0x15,0x0.2ap+0,*
0x16,0x0.2cp+0,*
0x17,0x0.2ep+0,*
0x18,0x0.3p+0,*
0x19,0x0.32p+0,*
0x1a,0x0.34p+0,*
0x1b,0x0.36p+0,*
0x1c,0x0.38p+0,*
0x1d,0x0.3ap+0,*
0x1e,0x0.3cp+0,*
0x1f,0x0.3ep+0,*
0x20,0x0.4p+0,*
0x21,0x0.42p+0,*
0x22,0x0.44p+0,*
0x23,0x0.46p+0,*
0x24,0x0.48p+0,*
0x25,0x0.4ap+0,*
0x26,0x0.4cp+0,*
0x27,0x0.4ep+0,*
0x28,0x0.5p+0,*
0x29,0x0.52p+0,*
0x2a,0x0.54p+0,*
0x2b,0x0.56p+0,*
0x2c,0x0.58p+0,*
0x2d,0x0.5ap+0,*
0x2e,0x0.5cp+0,*
0x2f,0x0.5ep+0,*
0x30,0x0.6p+0,*
0x31,0x0.62p+0,*
0x32,0x0.64p+0,*
0x33,0x0.66p+0,*
0x34,0x0.68p+0,*
0x35,0x0.6ap+0,*
0x36,0x0.6cp+0,*
0x37,0x0.6ep+0,*
0x38,0x0.7p+0,*
0x39,0x0.72p+0,*
0x3a,0x0.74p+0,*
0x3b,0x0.76p+0,*
0x3c,0x0.78p+0,*
0x3d,0x0.7ap+0,*
0x3e,0x0.7cp+0,*
0x3f,0x0.7ep+0,*
0x40,0x1p-1, 
0x41,0x1.04p-1, 
0x42,0x1.08p-1, 
0x43,0x1.0cp-1, 
0x44,0x1.1p-1, 
0x45,0x1.14p-1, 
0x46,0x1.18p-1, 
0x47,0x1.1cp-1, 
0x48,0x1.2p-1, 
0x49,0x1.24p-1, 
0x4a,0x1.28p-1, 
0x4b,0x1.2cp-1, 
0x4c,0x1.3p-1, 
0x4d,0x1.34p-1, 
0x4e,0x1.38p-1, 
0x4f,0x1.3cp-1, 
0x50,0x1.4p-1, 
0x51,0x1.44p-1, 
0x52,0x1.48p-1, 
0x53,0x1.4cp-1, 
0x54,0x1.5p-1, 
0x55,0x1.54p-1, 
0x56,0x1.58p-1, 
0x57,0x1.5cp-1, 
0x58,0x1.6p-1, 
0x59,0x1.64p-1, 
0x5a,0x1.68p-1, 
0x5b,0x1.6cp-1, 
0x5c,0x1.7p-1, 
0x5d,0x1.74p-1, 
0x5e,0x1.78p-1, 
0x5f,0x1.7cp-1, 
