codepoint,sprintf_a,subnormal
0x0000,0x0p+0, 
0x0001,0x1p-16383, 
0x0002,0x1p-16382, 
0x0003,0x1p-16381, 
0x0004,0x1p-16380, 
0x0005,0x1p-16379, 
0x0006,0x1p-16378, 
0x0007,0x1p-16377, 
0x0008,0x1p-16376, 
0x0009,0x1p-16375, 
0x000a,0x1p-16374, 
0x000b,0x1p-16373, 
0x000c,0x1p-16372, 
0x000d,0x1p-16371, 
0x000e,0x1p-16370, 
0x000f,0x1p-16369, 
0x0010,0x1p-16368, 
0x0011,0x1p-16367, 
0x0012,0x1p-16366, 
0x0013,0x1p-16365, 
0x0014,0x1p-16364, 
0x0015,0x1p-16363, 
0x0016,0x1p-16362, 
0x0017,0x1p-16361, 
0x0018,0x1p-16360, 
0x0019,0x1p-16359, 
0x001a,0x1p-16358, 
0x001b,0x1p-16357, 
0x001c,0x1p-16356, 
0x001d,0x1p-16355, 
0x001e,0x1p-16354, 
0x001f,0x1p-16353, 
0x0020,0x1p-16352, 
0x0021,0x1p-16351, 
0x0022,0x1p-16350, 
0x0023,0x1p-16349, 
0x0024,0x1p-16348, 
0x0025,0x1p-16347, 
0x0026,0x1p-16346, 
0x0027,0x1p-16345, 
0x0028,0x1p-16344, 
0x0029,0x1p-16343, 
0x002a,0x1p-16342, 
0x002b,0x1p-16341, 
0x002c,0x1p-16340, 
0x002d,0x1p-16339, 
0x002e,0x1p-16338, 
0x002f,0x1p-16337, 
0x0030,0x1p-16336, 
0x0031,0x1p-16335, 
0x0032,0x1p-16334, 
0x0033,0x1p-16333, 
0x0034,0x1p-16332, 
0x0035,0x1p-16331, 
0x0036,0x1p-16330, 
0x0037,0x1p-16329, 
0x0038,0x1p-16328, 
0x0039,0x1p-16327, 
0x003a,0x1p-16326, 
0x003b,0x1p-16325, 
0x003c,0x1p-16324, 
0x003d,0x1p-16323, 
0x003e,0x1p-16322, 
0x003f,0x1p-16321, 
0x0040,0x1p-16320, 
0x0041,0x1p-16319, 
0x0042,0x1p-16318, 
0x0043,0x1p-16317, 
