codepoint,value,subnormal
0x00df,0x1p-33, 
0x00e0,0x1p-32, 
0x00e1,0x1p-31, 
0x00e2,0x1p-30, 
0x00e3,0x1p-29, 
0x00e4,0x1p-28, 
0x00e5,0x1p-27, 
0x00e6,0x1p-26, 
0x00e7,0x1p-25, 
0x00e8,0x1p-24, 
0x00e9,0x1p-23, 
0x00ea,0x1p-22, 
0x00eb,0x1p-21, 
0x00ec,0x1p-20, 
0x00ed,0x1p-19, 
0x00ee,0x1p-18, 
0x00ef,0x1p-17, 
0x00f0,0x1p-16, 
0x00f1,0x1p-15, 
0x00f2,0x1p-14, 
0x00f3,0x1p-13, 
0x00f4,0x1p-12, 
0x00f5,0x1p-11, 
0x00f6,0x1p-10, 
0x00f7,0x1p-9, 
0x00f8,0x1p-8, 
0x00f9,0x1p-7, 
0x00fa,0x1p-6, 
0x00fb,0x1p-5, 
0x00fc,0x1p-4, 
0x00fd,0x1p-3, 
0x00fe,0x1p-2, 
0x00ff,0x1p-1, 
0x0100,0x1p+0, 
0x0101,0x1p+1, 
0x0102,0x1p+2, 
0x0103,0x1p+3, 
0x0104,0x1p+4, 
0x0105,0x1p+5, 
0x0106,0x1p+6, 
0x0107,0x1p+7, 
0x0108,0x1p+8, 
0x0109,0x1p+9, 
0x010a,0x1p+10, 
0x010b,0x1p+11, 
0x010c,0x1p+12, 
0x010d,0x1p+13, 
0x010e,0x1p+14, 
0x010f,0x1p+15, 
0x0110,0x1p+16, 
0x0111,0x1p+17, 
0x0112,0x1p+18, 
0x0113,0x1p+19, 
0x0114,0x1p+20, 
0x0115,0x1p+21, 
0x0116,0x1p+22, 
0x0117,0x1p+23, 
0x0118,0x1p+24, 
0x0119,0x1p+25, 
0x011a,0x1p+26, 
0x011b,0x1p+27, 
0x011c,0x1p+28, 
0x011d,0x1p+29, 
0x011e,0x1p+30, 
0x011f,0x1p+31, 
0x0120,0x1p+32, 
0x0121,0x1p+33, 
0x0122,0x1p+34, 
0x0123,0x1p+35, 
0x0124,0x1p+36, 
0x0125,0x1p+37, 
0x0126,0x1p+38, 
0x0127,0x1p+39, 
0x0128,0x1p+40, 
0x0129,0x1p+41, 
0x012a,0x1p+42, 
0x012b,0x1p+43, 
0x012c,0x1p+44, 
0x012d,0x1p+45, 
0x012e,0x1p+46, 
0x012f,0x1p+47, 
0x0130,0x1p+48, 
0x0131,0x1p+49, 
0x0132,0x1p+50, 
0x0133,0x1p+51, 
0x0134,0x1p+52, 
0x0135,0x1p+53, 
0x0136,0x1p+54, 
0x0137,0x1p+55, 
0x0138,0x1p+56, 
0x0139,0x1p+57, 
0x013a,0x1p+58, 
0x013b,0x1p+59, 
0x013c,0x1p+60, 
0x013d,0x1p+61, 
0x013e,0x1p+62, 
0x013f,0x1p+63, 
0x0140,0x1p+64, 
0x0141,0x1p+65, 
0x0142,0x1p+66, 
0x0143,0x1p+67, 
0x0144,0x1p+68, 
0x0145,0x1p+69, 
0x0146,0x1p+70, 
0x0147,0x1p+71, 
0x0148,0x1p+72, 
0x0149,0x1p+73, 
0x014a,0x1p+74, 
0x014b,0x1p+75, 
0x014c,0x1p+76, 
0x014d,0x1p+77, 
0x014e,0x1p+78, 
0x014f,0x1p+79, 
0x0150,0x1p+80, 
0x0151,0x1p+81, 
0x0152,0x1p+82, 
0x0153,0x1p+83, 
0x0154,0x1p+84, 
0x0155,0x1p+85, 
0x0156,0x1p+86, 
0x0157,0x1p+87, 
0x0158,0x1p+88, 
0x0159,0x1p+89, 
0x015a,0x1p+90, 
0x015b,0x1p+91, 
0x015c,0x1p+92, 
0x015d,0x1p+93, 
0x015e,0x1p+94, 
0x015f,0x1p+95, 
0x0160,0x1p+96, 
0x0161,0x1p+97, 
0x0162,0x1p+98, 
0x0163,0x1p+99, 
0x0164,0x1p+100, 
0x0165,0x1p+101, 
0x0166,0x1p+102, 
0x0167,0x1p+103, 
0x0168,0x1p+104, 
0x0169,0x1p+105, 
0x016a,0x1p+106, 
0x016b,0x1p+107, 
0x016c,0x1p+108, 
0x016d,0x1p+109, 
0x016e,0x1p+110, 
0x016f,0x1p+111, 
0x0170,0x1p+112, 
0x0171,0x1p+113, 
0x0172,0x1p+114, 
0x0173,0x1p+115, 
0x0174,0x1p+116, 
0x0175,0x1p+117, 
0x0176,0x1p+118, 
0x0177,0x1p+119, 
0x0178,0x1p+120, 
0x0179,0x1p+121, 
0x017a,0x1p+122, 
0x017b,0x1p+123, 
0x017c,0x1p+124, 
0x017d,0x1p+125, 
0x017e,0x1p+126, 
0x017f,0x1p+127, 
0x0180,0x1p+128, 
0x0181,0x1p+129, 
0x0182,0x1p+130, 
0x0183,0x1p+131, 
0x0184,0x1p+132, 
0x0185,0x1p+133, 
0x0186,0x1p+134, 
0x0187,0x1p+135, 
0x0188,0x1p+136, 
0x0189,0x1p+137, 
0x018a,0x1p+138, 
0x018b,0x1p+139, 
0x018c,0x1p+140, 
0x018d,0x1p+141, 
0x018e,0x1p+142, 
0x018f,0x1p+143, 
0x0190,0x1p+144, 
0x0191,0x1p+145, 
0x0192,0x1p+146, 
0x0193,0x1p+147, 
0x0194,0x1p+148, 
0x0195,0x1p+149, 
0x0196,0x1p+150, 
0x0197,0x1p+151, 
0x0198,0x1p+152, 
0x0199,0x1p+153, 
0x019a,0x1p+154, 
0x019b,0x1p+155, 
0x019c,0x1p+156, 
0x019d,0x1p+157, 
0x019e,0x1p+158, 
0x019f,0x1p+159, 
0x01a0,0x1p+160, 
0x01a1,0x1p+161, 
0x01a2,0x1p+162, 
0x01a3,0x1p+163, 
0x01a4,0x1p+164, 
0x01a5,0x1p+165, 
0x01a6,0x1p+166, 
0x01a7,0x1p+167, 
0x01a8,0x1p+168, 
0x01a9,0x1p+169, 
0x01aa,0x1p+170, 
0x01ab,0x1p+171, 
0x01ac,0x1p+172, 
0x01ad,0x1p+173, 
0x01ae,0x1p+174, 
0x01af,0x1p+175, 
0x01b0,0x1p+176, 
0x01b1,0x1p+177, 
0x01b2,0x1p+178, 
0x01b3,0x1p+179, 
0x01b4,0x1p+180, 
0x01b5,0x1p+181, 
0x01b6,0x1p+182, 
0x01b7,0x1p+183, 
0x01b8,0x1p+184, 
0x01b9,0x1p+185, 
0x01ba,0x1p+186, 
0x01bb,0x1p+187, 
0x01bc,0x1p+188, 
0x01bd,0x1p+189, 
0x01be,0x1p+190, 
0x01bf,0x1p+191, 
0x01c0,0x1p+192, 
0x01c1,0x1p+193, 
0x01c2,0x1p+194, 
0x01c3,0x1p+195, 
0x01c4,0x1p+196, 
0x01c5,0x1p+197, 
0x01c6,0x1p+198, 
0x01c7,0x1p+199, 
0x01c8,0x1p+200, 
0x01c9,0x1p+201, 
0x01ca,0x1p+202, 
0x01cb,0x1p+203, 
0x01cc,0x1p+204, 
0x01cd,0x1p+205, 
0x01ce,0x1p+206, 
0x01cf,0x1p+207, 
0x01d0,0x1p+208, 
0x01d1,0x1p+209, 
0x01d2,0x1p+210, 
0x01d3,0x1p+211, 
0x01d4,0x1p+212, 
0x01d5,0x1p+213, 
0x01d6,0x1p+214, 
0x01d7,0x1p+215, 
0x01d8,0x1p+216, 
0x01d9,0x1p+217, 
0x01da,0x1p+218, 
0x01db,0x1p+219, 
0x01dc,0x1p+220, 
0x01dd,0x1p+221, 
0x01de,0x1p+222, 
0x01df,0x1p+223, 
0x01e0,0x1p+224, 
0x01e1,0x1p+225, 
