codepoint,value,subnormal
0x00,0x0p+0, 
0x01,0x0.4p-4,*
0x02,0x0.8p-4,*
0x03,0x0.cp-4,*
0x04,0x0.1p+0,*
0x05,0x0.14p+0,*
0x06,0x0.18p+0,*
0x07,0x0.1cp+0,*
0x08,0x1p-3, 
0x09,0x1.2p-3, 
0x0a,0x1.4p-3, 
0x0b,0x1.6p-3, 
0x0c,0x1.8p-3, 
0x0d,0x1.ap-3, 
0x0e,0x1.cp-3, 
0x0f,0x1.ep-3, 
0x10,0x1p-2, 
0x11,0x1.2p-2, 
0x12,0x1.4p-2, 
0x13,0x1.6p-2, 
0x14,0x1.8p-2, 
0x15,0x1.ap-2, 
0x16,0x1.cp-2, 
0x17,0x1.ep-2, 
0x18,0x1p-1, 
0x19,0x1.2p-1, 
0x1a,0x1.4p-1, 
0x1b,0x1.6p-1, 
0x1c,0x1.8p-1, 
0x1d,0x1.ap-1, 
0x1e,0x1.cp-1, 
0x1f,0x1.ep-1, 
0x20,0x1p+0, 
0x21,0x1.2p+0, 
0x22,0x1.4p+0, 
0x23,0x1.6p+0, 
0x24,0x1.8p+0, 
0x25,0x1.ap+0, 
0x26,0x1.cp+0, 
0x27,0x1.ep+0, 
0x28,0x1p+1, 
0x29,0x1.2p+1, 
0x2a,0x1.4p+1, 
0x2b,0x1.6p+1, 
0x2c,0x1.8p+1, 
0x2d,0x1.ap+1, 
0x2e,0x1.cp+1, 
0x2f,0x1.ep+1, 
0x30,0x1p+2, 
0x31,0x1.2p+2, 
0x32,0x1.4p+2, 
0x33,0x1.6p+2, 
0x34,0x1.8p+2, 
0x35,0x1.ap+2, 
0x36,0x1.cp+2, 
0x37,0x1.ep+2, 
0x38,0x1p+3, 
0x39,0x1.2p+3, 
0x3a,0x1.4p+3, 
0x3b,0x1.6p+3, 
0x3c,0x1.8p+3, 
0x3d,0x1.ap+3, 
0x3e,Inf, 
0x3f,Inf, 
