codepoint,values,subnormal
0x00bf,0x1.cp-16337, 
0x00c0,0x1p-16336, 
0x00c1,0x1.4p-16336, 
0x00c2,0x1.8p-16336, 
0x00c3,0x1.cp-16336, 
0x00c4,0x1p-16335, 
0x00c5,0x1.4p-16335, 
0x00c6,0x1.8p-16335, 
0x00c7,0x1.cp-16335, 
0x00c8,0x1p-16334, 
0x00c9,0x1.4p-16334, 
0x00ca,0x1.8p-16334, 
0x00cb,0x1.cp-16334, 
0x00cc,0x1p-16333, 
0x00cd,0x1.4p-16333, 
0x00ce,0x1.8p-16333, 
0x00cf,0x1.cp-16333, 
0x00d0,0x1p-16332, 
0x00d1,0x1.4p-16332, 
0x00d2,0x1.8p-16332, 
0x00d3,0x1.cp-16332, 
0x00d4,0x1p-16331, 
0x00d5,0x1.4p-16331, 
0x00d6,0x1.8p-16331, 
0x00d7,0x1.cp-16331, 
0x00d8,0x1p-16330, 
0x00d9,0x1.4p-16330, 
0x00da,0x1.8p-16330, 
0x00db,0x1.cp-16330, 
0x00dc,0x1p-16329, 
0x00dd,0x1.4p-16329, 
0x00de,0x1.8p-16329, 
0x00df,0x1.cp-16329, 
0x00e0,0x1p-16328, 
0x00e1,0x1.4p-16328, 
0x00e2,0x1.8p-16328, 
0x00e3,0x1.cp-16328, 
0x00e4,0x1p-16327, 
0x00e5,0x1.4p-16327, 
0x00e6,0x1.8p-16327, 
0x00e7,0x1.cp-16327, 
0x00e8,0x1p-16326, 
0x00e9,0x1.4p-16326, 
0x00ea,0x1.8p-16326, 
0x00eb,0x1.cp-16326, 
0x00ec,0x1p-16325, 
0x00ed,0x1.4p-16325, 
0x00ee,0x1.8p-16325, 
0x00ef,0x1.cp-16325, 
0x00f0,0x1p-16324, 
0x00f1,0x1.4p-16324, 
0x00f2,0x1.8p-16324, 
0x00f3,0x1.cp-16324, 
0x00f4,0x1p-16323, 
0x00f5,0x1.4p-16323, 
0x00f6,0x1.8p-16323, 
0x00f7,0x1.cp-16323, 
0x00f8,0x1p-16322, 
0x00f9,0x1.4p-16322, 
0x00fa,0x1.8p-16322, 
0x00fb,0x1.cp-16322, 
0x00fc,0x1p-16321, 
0x00fd,0x1.4p-16321, 
0x00fe,0x1.8p-16321, 
0x00ff,0x1.cp-16321, 
0x0100,0x1p-16320, 
0x0101,0x1.4p-16320, 
0x0102,0x1.8p-16320, 
0x0103,0x1.cp-16320, 
0x0104,0x1p-16319, 
0x0105,0x1.4p-16319, 
0x0106,0x1.8p-16319, 
0x0107,0x1.cp-16319, 
0x0108,0x1p-16318, 
0x0109,0x1.4p-16318, 
0x010a,0x1.8p-16318, 
0x010b,0x1.cp-16318, 
0x010c,0x1p-16317, 
0x010d,0x1.4p-16317, 
0x010e,0x1.8p-16317, 
0x010f,0x1.cp-16317, 
0x0110,0x1p-16316, 
0x0111,0x1.4p-16316, 
0x0112,0x1.8p-16316, 
0x0113,0x1.cp-16316, 
0x0114,0x1p-16315, 
0x0115,0x1.4p-16315, 
0x0116,0x1.8p-16315, 
0x0117,0x1.cp-16315, 
0x0118,0x1p-16314, 
0x0119,0x1.4p-16314, 
0x011a,0x1.8p-16314, 
0x011b,0x1.cp-16314, 
0x011c,0x1p-16313, 
0x011d,0x1.4p-16313, 
0x011e,0x1.8p-16313, 
0x011f,0x1.cp-16313, 
0x0120,0x1p-16312, 
0x0121,0x1.4p-16312, 
0x0122,0x1.8p-16312, 
0x0123,0x1.cp-16312, 
0x0124,0x1p-16311, 
0x0125,0x1.4p-16311, 
0x0126,0x1.8p-16311, 
0x0127,0x1.cp-16311, 
0x0128,0x1p-16310, 
0x0129,0x1.4p-16310, 
0x012a,0x1.8p-16310, 
0x012b,0x1.cp-16310, 
0x012c,0x1p-16309, 
0x012d,0x1.4p-16309, 
0x012e,0x1.8p-16309, 
