codepoint,sprintf_a,subnormal
0x0000,0x0p+0, 
0x0001,0x1p-4095, 
0x0002,0x1p-4094, 
0x0003,0x1p-4093, 
0x0004,0x1p-4092, 
0x0005,0x1p-4091, 
0x0006,0x1p-4090, 
0x0007,0x1p-4089, 
0x0008,0x1p-4088, 
0x0009,0x1p-4087, 
0x000a,0x1p-4086, 
0x000b,0x1p-4085, 
0x000c,0x1p-4084, 
0x000d,0x1p-4083, 
0x000e,0x1p-4082, 
0x000f,0x1p-4081, 
0x0010,0x1p-4080, 
0x0011,0x1p-4079, 
0x0012,0x1p-4078, 
0x0013,0x1p-4077, 
0x0014,0x1p-4076, 
0x0015,0x1p-4075, 
0x0016,0x1p-4074, 
0x0017,0x1p-4073, 
0x0018,0x1p-4072, 
0x0019,0x1p-4071, 
0x001a,0x1p-4070, 
0x001b,0x1p-4069, 
0x001c,0x1p-4068, 
0x001d,0x1p-4067, 
0x001e,0x1p-4066, 
0x001f,0x1p-4065, 
0x0020,0x1p-4064, 
0x0021,0x1p-4063, 
0x0022,0x1p-4062, 
0x0023,0x1p-4061, 
0x0024,0x1p-4060, 
0x0025,0x1p-4059, 
0x0026,0x1p-4058, 
0x0027,0x1p-4057, 
0x0028,0x1p-4056, 
0x0029,0x1p-4055, 
0x002a,0x1p-4054, 
0x002b,0x1p-4053, 
0x002c,0x1p-4052, 
0x002d,0x1p-4051, 
0x002e,0x1p-4050, 
0x002f,0x1p-4049, 
0x0030,0x1p-4048, 
0x0031,0x1p-4047, 
0x0032,0x1p-4046, 
0x0033,0x1p-4045, 
0x0034,0x1p-4044, 
0x0035,0x1p-4043, 
0x0036,0x1p-4042, 
0x0037,0x1p-4041, 
0x0038,0x1p-4040, 
0x0039,0x1p-4039, 
0x003a,0x1p-4038, 
0x003b,0x1p-4037, 
0x003c,0x1p-4036, 
0x003d,0x1p-4035, 
0x003e,0x1p-4034, 
0x003f,0x1p-4033, 
0x0040,0x1p-4032, 
0x0041,0x1p-4031, 
0x0042,0x1p-4030, 
0x0043,0x1p-4029, 
0x0044,0x1p-4028, 
0x0045,0x1p-4027, 
0x0046,0x1p-4026, 
0x0047,0x1p-4025, 
0x0048,0x1p-4024, 
0x0049,0x1p-4023, 
0x004a,0x1p-4022, 
0x004b,0x1p-4021, 
0x004c,0x1p-4020, 
0x004d,0x1p-4019, 
0x004e,0x1p-4018, 
0x004f,0x1p-4017, 
0x0050,0x1p-4016, 
0x0051,0x1p-4015, 
0x0052,0x1p-4014, 
0x0053,0x1p-4013, 
0x0054,0x1p-4012, 
0x0055,0x1p-4011, 
0x0056,0x1p-4010, 
0x0057,0x1p-4009, 
0x0058,0x1p-4008, 
0x0059,0x1p-4007, 
0x005a,0x1p-4006, 
0x005b,0x1p-4005, 
0x005c,0x1p-4004, 
