codepoint,value,subnormal
0x00,0x0p+0, 
0x01,0x0.8p-4,*
0x02,0x0.1p+0,*
0x03,0x0.18p+0,*
0x04,0x0.2p+0,*
0x05,0x0.28p+0,*
0x06,0x0.3p+0,*
0x07,0x0.38p+0,*
0x08,0x0.4p+0,*
0x09,0x0.48p+0,*
0x0a,0x0.5p+0,*
0x0b,0x0.58p+0,*
0x0c,0x0.6p+0,*
0x0d,0x0.68p+0,*
0x0e,0x0.7p+0,*
0x0f,0x0.78p+0,*
0x10,0x0.8p+0,*
0x11,0x0.88p+0,*
0x12,0x0.9p+0,*
0x13,0x0.98p+0,*
0x14,0x0.ap+0,*
0x15,0x0.a8p+0,*
0x16,0x0.bp+0,*
0x17,0x0.b8p+0,*
0x18,0x0.cp+0,*
0x19,0x0.c8p+0,*
0x1a,0x0.dp+0,*
0x1b,0x0.d8p+0,*
0x1c,0x0.ep+0,*
0x1d,0x0.e8p+0,*
0x1e,0x0.fp+0,*
0x1f,0x0.f8p+0,*
0x20,0x1p+0, 
0x21,0x1.08p+0, 
0x22,0x1.1p+0, 
0x23,0x1.18p+0, 
0x24,0x1.2p+0, 
0x25,0x1.28p+0, 
0x26,0x1.3p+0, 
0x27,0x1.38p+0, 
0x28,0x1.4p+0, 
0x29,0x1.48p+0, 
0x2a,0x1.5p+0, 
0x2b,0x1.58p+0, 
0x2c,0x1.6p+0, 
0x2d,0x1.68p+0, 
0x2e,0x1.7p+0, 
0x2f,0x1.78p+0, 
0x30,0x1.8p+0, 
0x31,0x1.88p+0, 
0x32,0x1.9p+0, 
0x33,0x1.98p+0, 
0x34,0x1.ap+0, 
0x35,0x1.a8p+0, 
0x36,0x1.bp+0, 
0x37,0x1.b8p+0, 
0x38,0x1.cp+0, 
0x39,0x1.c8p+0, 
0x3a,0x1.dp+0, 
0x3b,0x1.d8p+0, 
0x3c,0x1.ep+0, 
0x3d,0x1.e8p+0, 
0x3e,0x1.fp+0, 
0x3f,NaN, 
