codepoint,value,subnormal
0x00c0,0x1.8p+0, 
0x00c1,0x1.82p+0, 
0x00c2,0x1.84p+0, 
0x00c3,0x1.86p+0, 
0x00c4,0x1.88p+0, 
0x00c5,0x1.8ap+0, 
0x00c6,0x1.8cp+0, 
0x00c7,0x1.8ep+0, 
0x00c8,0x1.9p+0, 
0x00c9,0x1.92p+0, 
0x00ca,0x1.94p+0, 
0x00cb,0x1.96p+0, 
0x00cc,0x1.98p+0, 
0x00cd,0x1.9ap+0, 
0x00ce,0x1.9cp+0, 
0x00cf,0x1.9ep+0, 
0x00d0,0x1.ap+0, 
0x00d1,0x1.a2p+0, 
0x00d2,0x1.a4p+0, 
0x00d3,0x1.a6p+0, 
0x00d4,0x1.a8p+0, 
0x00d5,0x1.aap+0, 
0x00d6,0x1.acp+0, 
0x00d7,0x1.aep+0, 
0x00d8,0x1.bp+0, 
0x00d9,0x1.b2p+0, 
0x00da,0x1.b4p+0, 
0x00db,0x1.b6p+0, 
0x00dc,0x1.b8p+0, 
0x00dd,0x1.bap+0, 
0x00de,0x1.bcp+0, 
0x00df,0x1.bep+0, 
0x00e0,0x1.cp+0, 
0x00e1,0x1.c2p+0, 
0x00e2,0x1.c4p+0, 
0x00e3,0x1.c6p+0, 
0x00e4,0x1.c8p+0, 
0x00e5,0x1.cap+0, 
0x00e6,0x1.ccp+0, 
0x00e7,0x1.cep+0, 
0x00e8,0x1.dp+0, 
0x00e9,0x1.d2p+0, 
0x00ea,0x1.d4p+0, 
0x00eb,0x1.d6p+0, 
0x00ec,0x1.d8p+0, 
0x00ed,0x1.dap+0, 
0x00ee,0x1.dcp+0, 
0x00ef,0x1.dep+0, 
0x00f0,0x1.ep+0, 
0x00f1,0x1.e2p+0, 
0x00f2,0x1.e4p+0, 
0x00f3,0x1.e6p+0, 
0x00f4,0x1.e8p+0, 
0x00f5,0x1.eap+0, 
0x00f6,0x1.ecp+0, 
0x00f7,0x1.eep+0, 
0x00f8,0x1.fp+0, 
0x00f9,0x1.f2p+0, 
0x00fa,0x1.f4p+0, 
0x00fb,0x1.f6p+0, 
0x00fc,0x1.f8p+0, 
0x00fd,0x1.fap+0, 
0x00fe,0x1.fcp+0, 
0x00ff,0x1.fep+0, 
0x0100,Inf, 
0x0101,-0x0.2p-4,*
0x0102,-0x0.4p-4,*
0x0103,-0x0.6p-4,*
0x0104,-0x0.8p-4,*
0x0105,-0x0.ap-4,*
0x0106,-0x0.cp-4,*
0x0107,-0x0.ep-4,*
0x0108,-0x0.1p+0,*
0x0109,-0x0.12p+0,*
0x010a,-0x0.14p+0,*
0x010b,-0x0.16p+0,*
0x010c,-0x0.18p+0,*
0x010d,-0x0.1ap+0,*
0x010e,-0x0.1cp+0,*
0x010f,-0x0.1ep+0,*
0x0110,-0x0.2p+0,*
0x0111,-0x0.22p+0,*
0x0112,-0x0.24p+0,*
0x0113,-0x0.26p+0,*
0x0114,-0x0.28p+0,*
0x0115,-0x0.2ap+0,*
0x0116,-0x0.2cp+0,*
0x0117,-0x0.2ep+0,*
0x0118,-0x0.3p+0,*
0x0119,-0x0.32p+0,*
0x011a,-0x0.34p+0,*
0x011b,-0x0.36p+0,*
0x011c,-0x0.38p+0,*
0x011d,-0x0.3ap+0,*
0x011e,-0x0.3cp+0,*
0x011f,-0x0.3ep+0,*
0x0120,-0x0.4p+0,*
0x0121,-0x0.42p+0,*
0x0122,-0x0.44p+0,*
0x0123,-0x0.46p+0,*
0x0124,-0x0.48p+0,*
0x0125,-0x0.4ap+0,*
0x0126,-0x0.4cp+0,*
0x0127,-0x0.4ep+0,*
0x0128,-0x0.5p+0,*
0x0129,-0x0.52p+0,*
0x012a,-0x0.54p+0,*
0x012b,-0x0.56p+0,*
0x012c,-0x0.58p+0,*
0x012d,-0x0.5ap+0,*
0x012e,-0x0.5cp+0,*
0x012f,-0x0.5ep+0,*
0x0130,-0x0.6p+0,*
0x0131,-0x0.62p+0,*
0x0132,-0x0.64p+0,*
0x0133,-0x0.66p+0,*
0x0134,-0x0.68p+0,*
0x0135,-0x0.6ap+0,*
0x0136,-0x0.6cp+0,*
0x0137,-0x0.6ep+0,*
0x0138,-0x0.7p+0,*
0x0139,-0x0.72p+0,*
0x013a,-0x0.74p+0,*
0x013b,-0x0.76p+0,*
0x013c,-0x0.78p+0,*
0x013d,-0x0.7ap+0,*
0x013e,-0x0.7cp+0,*
0x013f,-0x0.7ep+0,*
0x0140,-0x0.8p+0,*
0x0141,-0x0.82p+0,*
0x0142,-0x0.84p+0,*
0x0143,-0x0.86p+0,*
0x0144,-0x0.88p+0,*
0x0145,-0x0.8ap+0,*
0x0146,-0x0.8cp+0,*
0x0147,-0x0.8ep+0,*
0x0148,-0x0.9p+0,*
0x0149,-0x0.92p+0,*
0x014a,-0x0.94p+0,*
0x014b,-0x0.96p+0,*
0x014c,-0x0.98p+0,*
0x014d,-0x0.9ap+0,*
0x014e,-0x0.9cp+0,*
0x014f,-0x0.9ep+0,*
0x0150,-0x0.ap+0,*
0x0151,-0x0.a2p+0,*
0x0152,-0x0.a4p+0,*
0x0153,-0x0.a6p+0,*
0x0154,-0x0.a8p+0,*
0x0155,-0x0.aap+0,*
0x0156,-0x0.acp+0,*
0x0157,-0x0.aep+0,*
0x0158,-0x0.bp+0,*
0x0159,-0x0.b2p+0,*
0x015a,-0x0.b4p+0,*
0x015b,-0x0.b6p+0,*
0x015c,-0x0.b8p+0,*
0x015d,-0x0.bap+0,*
0x015e,-0x0.bcp+0,*
0x015f,-0x0.bep+0,*
0x0160,-0x0.cp+0,*
0x0161,-0x0.c2p+0,*
0x0162,-0x0.c4p+0,*
0x0163,-0x0.c6p+0,*
0x0164,-0x0.c8p+0,*
0x0165,-0x0.cap+0,*
0x0166,-0x0.ccp+0,*
0x0167,-0x0.cep+0,*
0x0168,-0x0.dp+0,*
0x0169,-0x0.d2p+0,*
0x016a,-0x0.d4p+0,*
0x016b,-0x0.d6p+0,*
0x016c,-0x0.d8p+0,*
0x016d,-0x0.dap+0,*
0x016e,-0x0.dcp+0,*
