codepoint,sprintf_a,subnormal
0x00,0x0p+0, 
0x01,0x0.1p-60,*
0x02,0x1p-63, 
0x03,0x1.8p-63, 
0x04,0x1p-62, 
0x05,0x1.8p-62, 
0x06,0x1p-61, 
0x07,0x1.8p-61, 
0x08,0x1p-60, 
0x09,0x1.8p-60, 
0x0a,0x1p-59, 
0x0b,0x1.8p-59, 
0x0c,0x1p-58, 
0x0d,0x1.8p-58, 
0x0e,0x1p-57, 
0x0f,0x1.8p-57, 
0x10,0x1p-56, 
0x11,0x1.8p-56, 
0x12,0x1p-55, 
0x13,0x1.8p-55, 
0x14,0x1p-54, 
0x15,0x1.8p-54, 
0x16,0x1p-53, 
0x17,0x1.8p-53, 
0x18,0x1p-52, 
0x19,0x1.8p-52, 
0x1a,0x1p-51, 
0x1b,0x1.8p-51, 
0x1c,0x1p-50, 
0x1d,0x1.8p-50, 
0x1e,0x1p-49, 
0x1f,0x1.8p-49, 
0x20,0x1p-48, 
0x21,0x1.8p-48, 
0x22,0x1p-47, 
0x23,0x1.8p-47, 
0x24,0x1p-46, 
0x25,0x1.8p-46, 
0x26,0x1p-45, 
0x27,0x1.8p-45, 
0x28,0x1p-44, 
0x29,0x1.8p-44, 
0x2a,0x1p-43, 
0x2b,0x1.8p-43, 
0x2c,0x1p-42, 
0x2d,0x1.8p-42, 
0x2e,0x1p-41, 
0x2f,0x1.8p-41, 
0x30,0x1p-40, 
0x31,0x1.8p-40, 
0x32,0x1p-39, 
0x33,0x1.8p-39, 
0x34,0x1p-38, 
0x35,0x1.8p-38, 
0x36,0x1p-37, 
0x37,0x1.8p-37, 
0x38,0x1p-36, 
0x39,0x1.8p-36, 
0x3a,0x1p-35, 
0x3b,0x1.8p-35, 
0x3c,0x1p-34, 
0x3d,0x1.8p-34, 
0x3e,0x1p-33, 
0x3f,0x1.8p-33, 
0x40,0x1p-32, 
0x41,0x1.8p-32, 
0x42,0x1p-31, 
0x43,0x1.8p-31, 
0x44,0x1p-30, 
0x45,0x1.8p-30, 
0x46,0x1p-29, 
0x47,0x1.8p-29, 
0x48,0x1p-28, 
0x49,0x1.8p-28, 
0x4a,0x1p-27, 
0x4b,0x1.8p-27, 
0x4c,0x1p-26, 
0x4d,0x1.8p-26, 
0x4e,0x1p-25, 
0x4f,0x1.8p-25, 
0x50,0x1p-24, 
0x51,0x1.8p-24, 
0x52,0x1p-23, 
0x53,0x1.8p-23, 
0x54,0x1p-22, 
0x55,0x1.8p-22, 
0x56,0x1p-21, 
0x57,0x1.8p-21, 
0x58,0x1p-20, 
