codepoint,values,subnormal
0x00c0,0x0.cp-8,*
0x00c1,0x0.c1p-8,*
0x00c2,0x0.c2p-8,*
0x00c3,0x0.c3p-8,*
0x00c4,0x0.c4p-8,*
0x00c5,0x0.c5p-8,*
0x00c6,0x0.c6p-8,*
0x00c7,0x0.c7p-8,*
0x00c8,0x0.c8p-8,*
0x00c9,0x0.c9p-8,*
0x00ca,0x0.cap-8,*
0x00cb,0x0.cbp-8,*
0x00cc,0x0.ccp-8,*
0x00cd,0x0.cdp-8,*
0x00ce,0x0.cep-8,*
0x00cf,0x0.cfp-8,*
0x00d0,0x0.dp-8,*
0x00d1,0x0.d1p-8,*
0x00d2,0x0.d2p-8,*
0x00d3,0x0.d3p-8,*
0x00d4,0x0.d4p-8,*
0x00d5,0x0.d5p-8,*
0x00d6,0x0.d6p-8,*
0x00d7,0x0.d7p-8,*
0x00d8,0x0.d8p-8,*
0x00d9,0x0.d9p-8,*
0x00da,0x0.dap-8,*
0x00db,0x0.dbp-8,*
0x00dc,0x0.dcp-8,*
0x00dd,0x0.ddp-8,*
0x00de,0x0.dep-8,*
0x00df,0x0.dfp-8,*
0x00e0,0x0.ep-8,*
0x00e1,0x0.e1p-8,*
0x00e2,0x0.e2p-8,*
0x00e3,0x0.e3p-8,*
0x00e4,0x0.e4p-8,*
0x00e5,0x0.e5p-8,*
0x00e6,0x0.e6p-8,*
0x00e7,0x0.e7p-8,*
0x00e8,0x0.e8p-8,*
0x00e9,0x0.e9p-8,*
0x00ea,0x0.eap-8,*
0x00eb,0x0.ebp-8,*
0x00ec,0x0.ecp-8,*
0x00ed,0x0.edp-8,*
0x00ee,0x0.eep-8,*
0x00ef,0x0.efp-8,*
0x00f0,0x0.fp-8,*
0x00f1,0x0.f1p-8,*
0x00f2,0x0.f2p-8,*
0x00f3,0x0.f3p-8,*
0x00f4,0x0.f4p-8,*
0x00f5,0x0.f5p-8,*
0x00f6,0x0.f6p-8,*
0x00f7,0x0.f7p-8,*
0x00f8,0x0.f8p-8,*
0x00f9,0x0.f9p-8,*
0x00fa,0x0.fap-8,*
0x00fb,0x0.fbp-8,*
0x00fc,0x0.fcp-8,*
0x00fd,0x0.fdp-8,*
0x00fe,0x0.fep-8,*
0x00ff,0x0.ffp-8,*
0x0100,0x0.1p-4,*
0x0101,0x0.101p-4,*
0x0102,0x0.102p-4,*
0x0103,0x0.103p-4,*
0x0104,0x0.104p-4,*
0x0105,0x0.105p-4,*
0x0106,0x0.106p-4,*
0x0107,0x0.107p-4,*
0x0108,0x0.108p-4,*
0x0109,0x0.109p-4,*
0x010a,0x0.10ap-4,*
0x010b,0x0.10bp-4,*
