codepoint,sprintf_a,subnormal
0x00,0x0p+0, 
0x01,0x1p-127, 
0x02,0x1p-126, 
0x03,0x1p-125, 
0x04,0x1p-124, 
0x05,0x1p-123, 
0x06,0x1p-122, 
0x07,0x1p-121, 
0x08,0x1p-120, 
0x09,0x1p-119, 
0x0a,0x1p-118, 
0x0b,0x1p-117, 
0x0c,0x1p-116, 
0x0d,0x1p-115, 
0x0e,0x1p-114, 
0x0f,0x1p-113, 
0x10,0x1p-112, 
0x11,0x1p-111, 
0x12,0x1p-110, 
0x13,0x1p-109, 
0x14,0x1p-108, 
0x15,0x1p-107, 
0x16,0x1p-106, 
0x17,0x1p-105, 
0x18,0x1p-104, 
0x19,0x1p-103, 
0x1a,0x1p-102, 
0x1b,0x1p-101, 
0x1c,0x1p-100, 
0x1d,0x1p-99, 
0x1e,0x1p-98, 
0x1f,0x1p-97, 
0x20,0x1p-96, 
0x21,0x1p-95, 
0x22,0x1p-94, 
0x23,0x1p-93, 
0x24,0x1p-92, 
0x25,0x1p-91, 
0x26,0x1p-90, 
0x27,0x1p-89, 
0x28,0x1p-88, 
0x29,0x1p-87, 
0x2a,0x1p-86, 
0x2b,0x1p-85, 
0x2c,0x1p-84, 
0x2d,0x1p-83, 
0x2e,0x1p-82, 
0x2f,0x1p-81, 
0x30,0x1p-80, 
0x31,0x1p-79, 
0x32,0x1p-78, 
0x33,0x1p-77, 
0x34,0x1p-76, 
0x35,0x1p-75, 
0x36,0x1p-74, 
0x37,0x1p-73, 
0x38,0x1p-72, 
0x39,0x1p-71, 
0x3a,0x1p-70, 
0x3b,0x1p-69, 
0x3c,0x1p-68, 
0x3d,0x1p-67, 
0x3e,0x1p-66, 
0x3f,0x1p-65, 
0x40,0x1p-64, 
0x41,0x1p-63, 
0x42,0x1p-62, 
0x43,0x1p-61, 
0x44,0x1p-60, 
0x45,0x1p-59, 
0x46,0x1p-58, 
0x47,0x1p-57, 
0x48,0x1p-56, 
0x49,0x1p-55, 
0x4a,0x1p-54, 
0x4b,0x1p-53, 
0x4c,0x1p-52, 
0x4d,0x1p-51, 
0x4e,0x1p-50, 
0x4f,0x1p-49, 
0x50,0x1p-48, 
0x51,0x1p-47, 
0x52,0x1p-46, 
0x53,0x1p-45, 
0x54,0x1p-44, 
0x55,0x1p-43, 
0x56,0x1p-42, 
0x57,0x1p-41, 
0x58,0x1p-40, 
0x59,0x1p-39, 
0x5a,0x1p-38, 
0x5b,0x1p-37, 
0x5c,0x1p-36, 
0x5d,0x1p-35, 
0x5e,0x1p-34, 
0x5f,0x1p-33, 
0x60,0x1p-32, 
0x61,0x1p-31, 
0x62,0x1p-30, 
0x63,0x1p-29, 
0x64,0x1p-28, 
0x65,0x1p-27, 
0x66,0x1p-26, 
0x67,0x1p-25, 
0x68,0x1p-24, 
0x69,0x1p-23, 
0x6a,0x1p-22, 
0x6b,0x1p-21, 
0x6c,0x1p-20, 
0x6d,0x1p-19, 
0x6e,0x1p-18, 
0x6f,0x1p-17, 
0x70,0x1p-16, 
0x71,0x1p-15, 
0x72,0x1p-14, 
0x73,0x1p-13, 
0x74,0x1p-12, 
0x75,0x1p-11, 
0x76,0x1p-10, 
0x77,0x1p-9, 
0x78,0x1p-8, 
0x79,0x1p-7, 
0x7a,0x1p-6, 
0x7b,0x1p-5, 
0x7c,0x1p-4, 
0x7d,0x1p-3, 
0x7e,0x1p-2, 
0x7f,0x1p-1, 
0x80,0x1p+0, 
0x81,0x1p+1, 
0x82,0x1p+2, 
