codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x0.2p-32,!
0x0002,0x0.4p-32,!
0x0003,0x0.6p-32,!
0x0004,0x0.8p-32,!
0x0005,0x0.ap-32,!
0x0006,0x0.cp-32,!
0x0007,0x0.ep-32,!
0x0008,0x0.1p-28,!
0x0009,0x0.12p-28,!
0x000a,0x0.14p-28,!
0x000b,0x0.16p-28,!
0x000c,0x0.18p-28,!
0x000d,0x0.1ap-28,!
0x000e,0x0.1cp-28,!
0x000f,0x0.1ep-28,!
0x0010,0x1p-31, 
0x0011,0x1.1p-31, 
0x0012,0x1.2p-31, 
0x0013,0x1.3p-31, 
0x0014,0x1.4p-31, 
0x0015,0x1.5p-31, 
0x0016,0x1.6p-31, 
0x0017,0x1.7p-31, 
0x0018,0x1.8p-31, 
0x0019,0x1.9p-31, 
0x001a,0x1.ap-31, 
0x001b,0x1.bp-31, 
0x001c,0x1.cp-31, 
0x001d,0x1.dp-31, 
0x001e,0x1.ep-31, 
0x001f,0x1.fp-31, 
0x0020,0x1p-30, 
0x0021,0x1.1p-30, 
0x0022,0x1.2p-30, 
0x0023,0x1.3p-30, 
0x0024,0x1.4p-30, 
0x0025,0x1.5p-30, 
0x0026,0x1.6p-30, 
0x0027,0x1.7p-30, 
0x0028,0x1.8p-30, 
0x0029,0x1.9p-30, 
0x002a,0x1.ap-30, 
0x002b,0x1.bp-30, 
0x002c,0x1.cp-30, 
0x002d,0x1.dp-30, 
0x002e,0x1.ep-30, 
0x002f,0x1.fp-30, 
0x0030,0x1p-29, 
0x0031,0x1.1p-29, 
0x0032,0x1.2p-29, 
0x0033,0x1.3p-29, 
0x0034,0x1.4p-29, 
0x0035,0x1.5p-29, 
0x0036,0x1.6p-29, 
0x0037,0x1.7p-29, 
0x0038,0x1.8p-29, 
0x0039,0x1.9p-29, 
0x003a,0x1.ap-29, 
0x003b,0x1.bp-29, 
0x003c,0x1.cp-29, 
0x003d,0x1.dp-29, 
0x003e,0x1.ep-29, 
0x003f,0x1.fp-29, 
0x0040,0x1p-28, 
0x0041,0x1.1p-28, 
0x0042,0x1.2p-28, 
0x0043,0x1.3p-28, 
0x0044,0x1.4p-28, 
0x0045,0x1.5p-28, 
0x0046,0x1.6p-28, 
0x0047,0x1.7p-28, 
0x0048,0x1.8p-28, 
0x0049,0x1.9p-28, 
0x004a,0x1.ap-28, 
0x004b,0x1.bp-28, 
0x004c,0x1.cp-28, 
0x004d,0x1.dp-28, 
0x004e,0x1.ep-28, 
0x004f,0x1.fp-28, 
0x0050,0x1p-27, 
0x0051,0x1.1p-27, 
0x0052,0x1.2p-27, 
0x0053,0x1.3p-27, 
0x0054,0x1.4p-27, 
0x0055,0x1.5p-27, 
0x0056,0x1.6p-27, 
0x0057,0x1.7p-27, 
0x0058,0x1.8p-27, 
0x0059,0x1.9p-27, 
0x005a,0x1.ap-27, 
0x005b,0x1.bp-27, 
0x005c,0x1.cp-27, 
0x005d,0x1.dp-27, 
0x005e,0x1.ep-27, 
0x005f,0x1.fp-27, 
0x0060,0x1p-26, 
0x0061,0x1.1p-26, 
0x0062,0x1.2p-26, 
0x0063,0x1.3p-26, 
0x0064,0x1.4p-26, 
0x0065,0x1.5p-26, 
0x0066,0x1.6p-26, 
0x0067,0x1.7p-26, 
0x0068,0x1.8p-26, 
0x0069,0x1.9p-26, 
0x006a,0x1.ap-26, 
0x006b,0x1.bp-26, 
0x006c,0x1.cp-26, 
0x006d,0x1.dp-26, 
0x006e,0x1.ep-26, 
0x006f,0x1.fp-26, 
0x0070,0x1p-25, 
0x0071,0x1.1p-25, 
0x0072,0x1.2p-25, 
0x0073,0x1.3p-25, 
0x0074,0x1.4p-25, 
0x0075,0x1.5p-25, 
0x0076,0x1.6p-25, 
0x0077,0x1.7p-25, 
0x0078,0x1.8p-25, 
0x0079,0x1.9p-25, 
0x007a,0x1.ap-25, 
0x007b,0x1.bp-25, 
0x007c,0x1.cp-25, 
0x007d,0x1.dp-25, 
0x007e,0x1.ep-25, 
0x007f,0x1.fp-25, 
0x0080,0x1p-24, 
0x0081,0x1.1p-24, 
0x0082,0x1.2p-24, 
0x0083,0x1.3p-24, 
0x0084,0x1.4p-24, 
0x0085,0x1.5p-24, 
0x0086,0x1.6p-24, 
0x0087,0x1.7p-24, 
0x0088,0x1.8p-24, 
0x0089,0x1.9p-24, 
0x008a,0x1.ap-24, 
0x008b,0x1.bp-24, 
0x008c,0x1.cp-24, 
0x008d,0x1.dp-24, 
0x008e,0x1.ep-24, 
0x008f,0x1.fp-24, 
0x0090,0x1p-23, 
0x0091,0x1.1p-23, 
0x0092,0x1.2p-23, 
0x0093,0x1.3p-23, 
0x0094,0x1.4p-23, 
0x0095,0x1.5p-23, 
0x0096,0x1.6p-23, 
0x0097,0x1.7p-23, 
0x0098,0x1.8p-23, 
0x0099,0x1.9p-23, 
0x009a,0x1.ap-23, 
0x009b,0x1.bp-23, 
0x009c,0x1.cp-23, 
0x009d,0x1.dp-23, 
0x009e,0x1.ep-23, 
0x009f,0x1.fp-23, 
0x00a0,0x1p-22, 
0x00a1,0x1.1p-22, 
0x00a2,0x1.2p-22, 
0x00a3,0x1.3p-22, 
0x00a4,0x1.4p-22, 
0x00a5,0x1.5p-22, 
0x00a6,0x1.6p-22, 
0x00a7,0x1.7p-22, 
0x00a8,0x1.8p-22, 
0x00a9,0x1.9p-22, 
0x00aa,0x1.ap-22, 
0x00ab,0x1.bp-22, 
0x00ac,0x1.cp-22, 
0x00ad,0x1.dp-22, 
0x00ae,0x1.ep-22, 
0x00af,0x1.fp-22, 
0x00b0,0x1p-21, 
0x00b1,0x1.1p-21, 
0x00b2,0x1.2p-21, 
0x00b3,0x1.3p-21, 
0x00b4,0x1.4p-21, 
0x00b5,0x1.5p-21, 
0x00b6,0x1.6p-21, 
0x00b7,0x1.7p-21, 
0x00b8,0x1.8p-21, 
0x00b9,0x1.9p-21, 
0x00ba,0x1.ap-21, 
0x00bb,0x1.bp-21, 
0x00bc,0x1.cp-21, 
0x00bd,0x1.dp-21, 
0x00be,0x1.ep-21, 
0x00bf,0x1.fp-21, 
0x00c0,0x1p-20, 
0x00c1,0x1.1p-20, 
0x00c2,0x1.2p-20, 
0x00c3,0x1.3p-20, 
0x00c4,0x1.4p-20, 
0x00c5,0x1.5p-20, 
0x00c6,0x1.6p-20, 
0x00c7,0x1.7p-20, 
0x00c8,0x1.8p-20, 
0x00c9,0x1.9p-20, 
0x00ca,0x1.ap-20, 
0x00cb,0x1.bp-20, 
0x00cc,0x1.cp-20, 
0x00cd,0x1.dp-20, 
0x00ce,0x1.ep-20, 
0x00cf,0x1.fp-20, 
0x00d0,0x1p-19, 
0x00d1,0x1.1p-19, 
0x00d2,0x1.2p-19, 
0x00d3,0x1.3p-19, 
0x00d4,0x1.4p-19, 
0x00d5,0x1.5p-19, 
0x00d6,0x1.6p-19, 
0x00d7,0x1.7p-19, 
0x00d8,0x1.8p-19, 
0x00d9,0x1.9p-19, 
0x00da,0x1.ap-19, 
0x00db,0x1.bp-19, 
0x00dc,0x1.cp-19, 
0x00dd,0x1.dp-19, 
0x00de,0x1.ep-19, 
0x00df,0x1.fp-19, 
0x00e0,0x1p-18, 
0x00e1,0x1.1p-18, 
0x00e2,0x1.2p-18, 
0x00e3,0x1.3p-18, 
0x00e4,0x1.4p-18, 
0x00e5,0x1.5p-18, 
0x00e6,0x1.6p-18, 
0x00e7,0x1.7p-18, 
0x00e8,0x1.8p-18, 
0x00e9,0x1.9p-18, 
0x00ea,0x1.ap-18, 
0x00eb,0x1.bp-18, 
0x00ec,0x1.cp-18, 
0x00ed,0x1.dp-18, 
0x00ee,0x1.ep-18, 
0x00ef,0x1.fp-18, 
0x00f0,0x1p-17, 
0x00f1,0x1.1p-17, 
0x00f2,0x1.2p-17, 
0x00f3,0x1.3p-17, 
0x00f4,0x1.4p-17, 
0x00f5,0x1.5p-17, 
0x00f6,0x1.6p-17, 
0x00f7,0x1.7p-17, 
0x00f8,0x1.8p-17, 
0x00f9,0x1.9p-17, 
0x00fa,0x1.ap-17, 
0x00fb,0x1.bp-17, 
0x00fc,0x1.cp-17, 
0x00fd,0x1.dp-17, 
0x00fe,0x1.ep-17, 
0x00ff,0x1.fp-17, 
0x0100,0x1p-16, 
0x0101,0x1.1p-16, 
0x0102,0x1.2p-16, 
0x0103,0x1.3p-16, 
0x0104,0x1.4p-16, 
0x0105,0x1.5p-16, 
0x0106,0x1.6p-16, 
0x0107,0x1.7p-16, 
0x0108,0x1.8p-16, 
0x0109,0x1.9p-16, 
0x010a,0x1.ap-16, 
0x010b,0x1.bp-16, 
0x010c,0x1.cp-16, 
0x010d,0x1.dp-16, 
0x010e,0x1.ep-16, 
0x010f,0x1.fp-16, 
0x0110,0x1p-15, 
0x0111,0x1.1p-15, 
0x0112,0x1.2p-15, 
0x0113,0x1.3p-15, 
0x0114,0x1.4p-15, 
0x0115,0x1.5p-15, 
0x0116,0x1.6p-15, 
0x0117,0x1.7p-15, 
0x0118,0x1.8p-15, 
0x0119,0x1.9p-15, 
0x011a,0x1.ap-15, 
0x011b,0x1.bp-15, 
0x011c,0x1.cp-15, 
0x011d,0x1.dp-15, 
0x011e,0x1.ep-15, 
0x011f,0x1.fp-15, 
0x0120,0x1p-14, 
0x0121,0x1.1p-14, 
0x0122,0x1.2p-14, 
0x0123,0x1.3p-14, 
0x0124,0x1.4p-14, 
0x0125,0x1.5p-14, 
0x0126,0x1.6p-14, 
0x0127,0x1.7p-14, 
0x0128,0x1.8p-14, 
0x0129,0x1.9p-14, 
0x012a,0x1.ap-14, 
0x012b,0x1.bp-14, 
0x012c,0x1.cp-14, 
0x012d,0x1.dp-14, 
0x012e,0x1.ep-14, 
0x012f,0x1.fp-14, 
0x0130,0x1p-13, 
0x0131,0x1.1p-13, 
0x0132,0x1.2p-13, 
0x0133,0x1.3p-13, 
0x0134,0x1.4p-13, 
0x0135,0x1.5p-13, 
0x0136,0x1.6p-13, 
0x0137,0x1.7p-13, 
0x0138,0x1.8p-13, 
0x0139,0x1.9p-13, 
0x013a,0x1.ap-13, 
0x013b,0x1.bp-13, 
0x013c,0x1.cp-13, 
0x013d,0x1.dp-13, 
0x013e,0x1.ep-13, 
0x013f,0x1.fp-13, 
0x0140,0x1p-12, 
0x0141,0x1.1p-12, 
0x0142,0x1.2p-12, 
0x0143,0x1.3p-12, 
0x0144,0x1.4p-12, 
0x0145,0x1.5p-12, 
0x0146,0x1.6p-12, 
0x0147,0x1.7p-12, 
0x0148,0x1.8p-12, 
0x0149,0x1.9p-12, 
0x014a,0x1.ap-12, 
0x014b,0x1.bp-12, 
0x014c,0x1.cp-12, 
0x014d,0x1.dp-12, 
0x014e,0x1.ep-12, 
0x014f,0x1.fp-12, 
0x0150,0x1p-11, 
0x0151,0x1.1p-11, 
0x0152,0x1.2p-11, 
0x0153,0x1.3p-11, 
0x0154,0x1.4p-11, 
0x0155,0x1.5p-11, 
0x0156,0x1.6p-11, 
0x0157,0x1.7p-11, 
0x0158,0x1.8p-11, 
0x0159,0x1.9p-11, 
0x015a,0x1.ap-11, 
0x015b,0x1.bp-11, 
0x015c,0x1.cp-11, 
0x015d,0x1.dp-11, 
0x015e,0x1.ep-11, 
0x015f,0x1.fp-11, 
0x0160,0x1p-10, 
0x0161,0x1.1p-10, 
0x0162,0x1.2p-10, 
0x0163,0x1.3p-10, 
0x0164,0x1.4p-10, 
0x0165,0x1.5p-10, 
0x0166,0x1.6p-10, 
0x0167,0x1.7p-10, 
0x0168,0x1.8p-10, 
0x0169,0x1.9p-10, 
0x016a,0x1.ap-10, 
0x016b,0x1.bp-10, 
0x016c,0x1.cp-10, 
0x016d,0x1.dp-10, 
0x016e,0x1.ep-10, 
0x016f,0x1.fp-10, 
0x0170,0x1p-9, 
0x0171,0x1.1p-9, 
0x0172,0x1.2p-9, 
0x0173,0x1.3p-9, 
0x0174,0x1.4p-9, 
0x0175,0x1.5p-9, 
0x0176,0x1.6p-9, 
0x0177,0x1.7p-9, 
0x0178,0x1.8p-9, 
0x0179,0x1.9p-9, 
0x017a,0x1.ap-9, 
0x017b,0x1.bp-9, 
0x017c,0x1.cp-9, 
0x017d,0x1.dp-9, 
0x017e,0x1.ep-9, 
0x017f,0x1.fp-9, 
0x0180,0x1p-8, 
0x0181,0x1.1p-8, 
0x0182,0x1.2p-8, 
0x0183,0x1.3p-8, 
0x0184,0x1.4p-8, 
0x0185,0x1.5p-8, 
0x0186,0x1.6p-8, 
0x0187,0x1.7p-8, 
0x0188,0x1.8p-8, 
0x0189,0x1.9p-8, 
0x018a,0x1.ap-8, 
0x018b,0x1.bp-8, 
0x018c,0x1.cp-8, 
0x018d,0x1.dp-8, 
0x018e,0x1.ep-8, 
0x018f,0x1.fp-8, 
0x0190,0x1p-7, 
0x0191,0x1.1p-7, 
0x0192,0x1.2p-7, 
0x0193,0x1.3p-7, 
0x0194,0x1.4p-7, 
0x0195,0x1.5p-7, 
0x0196,0x1.6p-7, 
0x0197,0x1.7p-7, 
0x0198,0x1.8p-7, 
0x0199,0x1.9p-7, 
0x019a,0x1.ap-7, 
0x019b,0x1.bp-7, 
0x019c,0x1.cp-7, 
0x019d,0x1.dp-7, 
0x019e,0x1.ep-7, 
0x019f,0x1.fp-7, 
0x01a0,0x1p-6, 
0x01a1,0x1.1p-6, 
0x01a2,0x1.2p-6, 
0x01a3,0x1.3p-6, 
0x01a4,0x1.4p-6, 
0x01a5,0x1.5p-6, 
0x01a6,0x1.6p-6, 
0x01a7,0x1.7p-6, 
0x01a8,0x1.8p-6, 
0x01a9,0x1.9p-6, 
0x01aa,0x1.ap-6, 
0x01ab,0x1.bp-6, 
0x01ac,0x1.cp-6, 
0x01ad,0x1.dp-6, 
0x01ae,0x1.ep-6, 
0x01af,0x1.fp-6, 
0x01b0,0x1p-5, 
0x01b1,0x1.1p-5, 
0x01b2,0x1.2p-5, 
0x01b3,0x1.3p-5, 
0x01b4,0x1.4p-5, 
0x01b5,0x1.5p-5, 
0x01b6,0x1.6p-5, 
0x01b7,0x1.7p-5, 
0x01b8,0x1.8p-5, 
0x01b9,0x1.9p-5, 
0x01ba,0x1.ap-5, 
0x01bb,0x1.bp-5, 
0x01bc,0x1.cp-5, 
0x01bd,0x1.dp-5, 
0x01be,0x1.ep-5, 
0x01bf,0x1.fp-5, 
0x01c0,0x1p-4, 
0x01c1,0x1.1p-4, 
0x01c2,0x1.2p-4, 
0x01c3,0x1.3p-4, 
0x01c4,0x1.4p-4, 
0x01c5,0x1.5p-4, 
0x01c6,0x1.6p-4, 
0x01c7,0x1.7p-4, 
0x01c8,0x1.8p-4, 
0x01c9,0x1.9p-4, 
0x01ca,0x1.ap-4, 
0x01cb,0x1.bp-4, 
0x01cc,0x1.cp-4, 
0x01cd,0x1.dp-4, 
0x01ce,0x1.ep-4, 
0x01cf,0x1.fp-4, 
0x01d0,0x1p-3, 
0x01d1,0x1.1p-3, 
0x01d2,0x1.2p-3, 
0x01d3,0x1.3p-3, 
0x01d4,0x1.4p-3, 
0x01d5,0x1.5p-3, 
0x01d6,0x1.6p-3, 
0x01d7,0x1.7p-3, 
0x01d8,0x1.8p-3, 
0x01d9,0x1.9p-3, 
0x01da,0x1.ap-3, 
0x01db,0x1.bp-3, 
0x01dc,0x1.cp-3, 
0x01dd,0x1.dp-3, 
0x01de,0x1.ep-3, 
0x01df,0x1.fp-3, 
0x01e0,0x1p-2, 
0x01e1,0x1.1p-2, 
0x01e2,0x1.2p-2, 
0x01e3,0x1.3p-2, 
0x01e4,0x1.4p-2, 
0x01e5,0x1.5p-2, 
0x01e6,0x1.6p-2, 
0x01e7,0x1.7p-2, 
0x01e8,0x1.8p-2, 
0x01e9,0x1.9p-2, 
0x01ea,0x1.ap-2, 
0x01eb,0x1.bp-2, 
0x01ec,0x1.cp-2, 
0x01ed,0x1.dp-2, 
0x01ee,0x1.ep-2, 
0x01ef,0x1.fp-2, 
0x01f0,0x1p-1, 
0x01f1,0x1.1p-1, 
0x01f2,0x1.2p-1, 
0x01f3,0x1.3p-1, 
0x01f4,0x1.4p-1, 
0x01f5,0x1.5p-1, 
0x01f6,0x1.6p-1, 
0x01f7,0x1.7p-1, 
0x01f8,0x1.8p-1, 
0x01f9,0x1.9p-1, 
0x01fa,0x1.ap-1, 
0x01fb,0x1.bp-1, 
0x01fc,0x1.cp-1, 
0x01fd,0x1.dp-1, 
0x01fe,0x1.ep-1, 
0x01ff,0x1.fp-1, 
0x0200,0x1p+0, 
0x0201,0x1.1p+0, 
0x0202,0x1.2p+0, 
0x0203,0x1.3p+0, 
0x0204,0x1.4p+0, 
0x0205,0x1.5p+0, 
0x0206,0x1.6p+0, 
0x0207,0x1.7p+0, 
0x0208,0x1.8p+0, 
0x0209,0x1.9p+0, 
0x020a,0x1.ap+0, 
0x020b,0x1.bp+0, 
0x020c,0x1.cp+0, 
0x020d,0x1.dp+0, 
0x020e,0x1.ep+0, 
0x020f,0x1.fp+0, 
0x0210,0x1p+1, 
0x0211,0x1.1p+1, 
0x0212,0x1.2p+1, 
0x0213,0x1.3p+1, 
0x0214,0x1.4p+1, 
0x0215,0x1.5p+1, 
0x0216,0x1.6p+1, 
0x0217,0x1.7p+1, 
0x0218,0x1.8p+1, 
0x0219,0x1.9p+1, 
0x021a,0x1.ap+1, 
0x021b,0x1.bp+1, 
0x021c,0x1.cp+1, 
0x021d,0x1.dp+1, 
0x021e,0x1.ep+1, 
0x021f,0x1.fp+1, 
0x0220,0x1p+2, 
0x0221,0x1.1p+2, 
0x0222,0x1.2p+2, 
0x0223,0x1.3p+2, 
0x0224,0x1.4p+2, 
0x0225,0x1.5p+2, 
0x0226,0x1.6p+2, 
0x0227,0x1.7p+2, 
0x0228,0x1.8p+2, 
0x0229,0x1.9p+2, 
0x022a,0x1.ap+2, 
0x022b,0x1.bp+2, 
0x022c,0x1.cp+2, 
0x022d,0x1.dp+2, 
0x022e,0x1.ep+2, 
0x022f,0x1.fp+2, 
0x0230,0x1p+3, 
0x0231,0x1.1p+3, 
0x0232,0x1.2p+3, 
0x0233,0x1.3p+3, 
0x0234,0x1.4p+3, 
0x0235,0x1.5p+3, 
0x0236,0x1.6p+3, 
0x0237,0x1.7p+3, 
0x0238,0x1.8p+3, 
0x0239,0x1.9p+3, 
0x023a,0x1.ap+3, 
0x023b,0x1.bp+3, 
0x023c,0x1.cp+3, 
0x023d,0x1.dp+3, 
0x023e,0x1.ep+3, 
0x023f,0x1.fp+3, 
0x0240,0x1p+4, 
0x0241,0x1.1p+4, 
0x0242,0x1.2p+4, 
0x0243,0x1.3p+4, 
0x0244,0x1.4p+4, 
0x0245,0x1.5p+4, 
0x0246,0x1.6p+4, 
0x0247,0x1.7p+4, 
0x0248,0x1.8p+4, 
0x0249,0x1.9p+4, 
0x024a,0x1.ap+4, 
0x024b,0x1.bp+4, 
0x024c,0x1.cp+4, 
0x024d,0x1.dp+4, 
0x024e,0x1.ep+4, 
0x024f,0x1.fp+4, 
0x0250,0x1p+5, 
0x0251,0x1.1p+5, 
0x0252,0x1.2p+5, 
0x0253,0x1.3p+5, 
0x0254,0x1.4p+5, 
0x0255,0x1.5p+5, 
0x0256,0x1.6p+5, 
