codepoint,sprintf_a,subnormal
0xd0,0x1p+10, 
0xd1,0x1.2p+10, 
0xd2,0x1.4p+10, 
0xd3,0x1.6p+10, 
0xd4,0x1.8p+10, 
0xd5,0x1.ap+10, 
0xd6,0x1.cp+10, 
0xd7,0x1.ep+10, 
0xd8,0x1p+11, 
0xd9,0x1.2p+11, 
0xda,0x1.4p+11, 
0xdb,0x1.6p+11, 
0xdc,0x1.8p+11, 
0xdd,0x1.ap+11, 
0xde,0x1.cp+11, 
0xdf,0x1.ep+11, 
0xe0,0x1p+12, 
0xe1,0x1.2p+12, 
0xe2,0x1.4p+12, 
0xe3,0x1.6p+12, 
0xe4,0x1.8p+12, 
0xe5,0x1.ap+12, 
0xe6,0x1.cp+12, 
0xe7,0x1.ep+12, 
0xe8,0x1p+13, 
0xe9,0x1.2p+13, 
0xea,0x1.4p+13, 
0xeb,0x1.6p+13, 
0xec,0x1.8p+13, 
0xed,0x1.ap+13, 
0xee,0x1.cp+13, 
0xef,0x1.ep+13, 
0xf0,0x1p+14, 
0xf1,0x1.2p+14, 
0xf2,0x1.4p+14, 
0xf3,0x1.6p+14, 
0xf4,0x1.8p+14, 
0xf5,0x1.ap+14, 
0xf6,0x1.cp+14, 
0xf7,0x1.ep+14, 
0xf8,0x1p+15, 
0xf9,0x1.2p+15, 
0xfa,0x1.4p+15, 
0xfb,0x1.6p+15, 
0xfc,0x1.8p+15, 
0xfd,0x1.ap+15, 
0xfe,Inf, 
0xff,Inf, 
