codepoint,sprintf_a,subnormal
0x0000,0x0p+0, 
0x0001,0x1p-65535, 
0x0002,0x1p-65534, 
0x0003,0x1p-65533, 
0x0004,0x1p-65532, 
0x0005,0x1p-65531, 
0x0006,0x1p-65530, 
0x0007,0x1p-65529, 
0x0008,0x1p-65528, 
0x0009,0x1p-65527, 
0x000a,0x1p-65526, 
0x000b,0x1p-65525, 
0x000c,0x1p-65524, 
0x000d,0x1p-65523, 
0x000e,0x1p-65522, 
0x000f,0x1p-65521, 
0x0010,0x1p-65520, 
0x0011,0x1p-65519, 
0x0012,0x1p-65518, 
0x0013,0x1p-65517, 
0x0014,0x1p-65516, 
0x0015,0x1p-65515, 
0x0016,0x1p-65514, 
0x0017,0x1p-65513, 
0x0018,0x1p-65512, 
0x0019,0x1p-65511, 
0x001a,0x1p-65510, 
0x001b,0x1p-65509, 
0x001c,0x1p-65508, 
0x001d,0x1p-65507, 
0x001e,0x1p-65506, 
0x001f,0x1p-65505, 
0x0020,0x1p-65504, 
0x0021,0x1p-65503, 
0x0022,0x1p-65502, 
0x0023,0x1p-65501, 
0x0024,0x1p-65500, 
0x0025,0x1p-65499, 
0x0026,0x1p-65498, 
0x0027,0x1p-65497, 
0x0028,0x1p-65496, 
0x0029,0x1p-65495, 
0x002a,0x1p-65494, 
0x002b,0x1p-65493, 
0x002c,0x1p-65492, 
0x002d,0x1p-65491, 
0x002e,0x1p-65490, 
0x002f,0x1p-65489, 
0x0030,0x1p-65488, 
0x0031,0x1p-65487, 
0x0032,0x1p-65486, 
0x0033,0x1p-65485, 
0x0034,0x1p-65484, 
0x0035,0x1p-65483, 
0x0036,0x1p-65482, 
0x0037,0x1p-65481, 
0x0038,0x1p-65480, 
0x0039,0x1p-65479, 
0x003a,0x1p-65478, 
0x003b,0x1p-65477, 
0x003c,0x1p-65476, 
0x003d,0x1p-65475, 
0x003e,0x1p-65474, 
0x003f,0x1p-65473, 
0x0040,0x1p-65472, 
0x0041,0x1p-65471, 
0x0042,0x1p-65470, 
0x0043,0x1p-65469, 
0x0044,0x1p-65468, 
0x0045,0x1p-65467, 
0x0046,0x1p-65466, 
0x0047,0x1p-65465, 
0x0048,0x1p-65464, 
0x0049,0x1p-65463, 
0x004a,0x1p-65462, 
0x004b,0x1p-65461, 
0x004c,0x1p-65460, 
0x004d,0x1p-65459, 
0x004e,0x1p-65458, 
0x004f,0x1p-65457, 
0x0050,0x1p-65456, 
0x0051,0x1p-65455, 
0x0052,0x1p-65454, 
0x0053,0x1p-65453, 
0x0054,0x1p-65452, 
0x0055,0x1p-65451, 
0x0056,0x1p-65450, 
0x0057,0x1p-65449, 
0x0058,0x1p-65448, 
0x0059,0x1p-65447, 
0x005a,0x1p-65446, 
0x005b,0x1p-65445, 
0x005c,0x1p-65444, 
0x005d,0x1p-65443, 
