codepoint,sprintf_a,subnormal
0x0000,0x0p+0, 
0x0001,0x0.2p-2048,*
0x0002,0x0.4p-2048,*
0x0003,0x0.6p-2048,*
0x0004,0x0.8p-2048,*
0x0005,0x0.ap-2048,*
0x0006,0x0.cp-2048,*
0x0007,0x0.ep-2048,*
0x0008,0x0.1p-2044,*
0x0009,0x0.12p-2044,*
0x000a,0x0.14p-2044,*
0x000b,0x0.16p-2044,*
0x000c,0x0.18p-2044,*
0x000d,0x0.1ap-2044,*
0x000e,0x0.1cp-2044,*
0x000f,0x0.1ep-2044,*
0x0010,0x1p-2047, 
0x0011,0x1.1p-2047, 
0x0012,0x1.2p-2047, 
0x0013,0x1.3p-2047, 
0x0014,0x1.4p-2047, 
0x0015,0x1.5p-2047, 
0x0016,0x1.6p-2047, 
0x0017,0x1.7p-2047, 
0x0018,0x1.8p-2047, 
0x0019,0x1.9p-2047, 
0x001a,0x1.ap-2047, 
0x001b,0x1.bp-2047, 
0x001c,0x1.cp-2047, 
0x001d,0x1.dp-2047, 
0x001e,0x1.ep-2047, 
0x001f,0x1.fp-2047, 
0x0020,0x1p-2046, 
0x0021,0x1.1p-2046, 
0x0022,0x1.2p-2046, 
0x0023,0x1.3p-2046, 
0x0024,0x1.4p-2046, 
0x0025,0x1.5p-2046, 
0x0026,0x1.6p-2046, 
0x0027,0x1.7p-2046, 
0x0028,0x1.8p-2046, 
0x0029,0x1.9p-2046, 
0x002a,0x1.ap-2046, 
0x002b,0x1.bp-2046, 
0x002c,0x1.cp-2046, 
0x002d,0x1.dp-2046, 
0x002e,0x1.ep-2046, 
0x002f,0x1.fp-2046, 
0x0030,0x1p-2045, 
0x0031,0x1.1p-2045, 
0x0032,0x1.2p-2045, 
0x0033,0x1.3p-2045, 
0x0034,0x1.4p-2045, 
0x0035,0x1.5p-2045, 
0x0036,0x1.6p-2045, 
0x0037,0x1.7p-2045, 
0x0038,0x1.8p-2045, 
0x0039,0x1.9p-2045, 
0x003a,0x1.ap-2045, 
0x003b,0x1.bp-2045, 
0x003c,0x1.cp-2045, 
0x003d,0x1.dp-2045, 
0x003e,0x1.ep-2045, 
0x003f,0x1.fp-2045, 
0x0040,0x1p-2044, 
0x0041,0x1.1p-2044, 
0x0042,0x1.2p-2044, 
0x0043,0x1.3p-2044, 
0x0044,0x1.4p-2044, 
0x0045,0x1.5p-2044, 
0x0046,0x1.6p-2044, 
0x0047,0x1.7p-2044, 
0x0048,0x1.8p-2044, 
0x0049,0x1.9p-2044, 
0x004a,0x1.ap-2044, 
0x004b,0x1.bp-2044, 
0x004c,0x1.cp-2044, 
0x004d,0x1.dp-2044, 
0x004e,0x1.ep-2044, 
0x004f,0x1.fp-2044, 
0x0050,0x1p-2043, 
0x0051,0x1.1p-2043, 
0x0052,0x1.2p-2043, 
0x0053,0x1.3p-2043, 
0x0054,0x1.4p-2043, 
0x0055,0x1.5p-2043, 
0x0056,0x1.6p-2043, 
0x0057,0x1.7p-2043, 
0x0058,0x1.8p-2043, 
0x0059,0x1.9p-2043, 
0x005a,0x1.ap-2043, 
0x005b,0x1.bp-2043, 
0x005c,0x1.cp-2043, 
0x005d,0x1.dp-2043, 
0x005e,0x1.ep-2043, 
0x005f,0x1.fp-2043, 
0x0060,0x1p-2042, 
0x0061,0x1.1p-2042, 
0x0062,0x1.2p-2042, 
0x0063,0x1.3p-2042, 
0x0064,0x1.4p-2042, 
0x0065,0x1.5p-2042, 
0x0066,0x1.6p-2042, 
0x0067,0x1.7p-2042, 
0x0068,0x1.8p-2042, 
0x0069,0x1.9p-2042, 
0x006a,0x1.ap-2042, 
0x006b,0x1.bp-2042, 
0x006c,0x1.cp-2042, 
0x006d,0x1.dp-2042, 
0x006e,0x1.ep-2042, 
0x006f,0x1.fp-2042, 
0x0070,0x1p-2041, 
0x0071,0x1.1p-2041, 
0x0072,0x1.2p-2041, 
0x0073,0x1.3p-2041, 
0x0074,0x1.4p-2041, 
0x0075,0x1.5p-2041, 
0x0076,0x1.6p-2041, 
0x0077,0x1.7p-2041, 
0x0078,0x1.8p-2041, 
0x0079,0x1.9p-2041, 
0x007a,0x1.ap-2041, 
0x007b,0x1.bp-2041, 
0x007c,0x1.cp-2041, 
0x007d,0x1.dp-2041, 
0x007e,0x1.ep-2041, 
0x007f,0x1.fp-2041, 
0x0080,0x1p-2040, 
0x0081,0x1.1p-2040, 
0x0082,0x1.2p-2040, 
0x0083,0x1.3p-2040, 
0x0084,0x1.4p-2040, 
0x0085,0x1.5p-2040, 
0x0086,0x1.6p-2040, 
0x0087,0x1.7p-2040, 
0x0088,0x1.8p-2040, 
0x0089,0x1.9p-2040, 
0x008a,0x1.ap-2040, 
0x008b,0x1.bp-2040, 
0x008c,0x1.cp-2040, 
0x008d,0x1.dp-2040, 
0x008e,0x1.ep-2040, 
0x008f,0x1.fp-2040, 
0x0090,0x1p-2039, 
0x0091,0x1.1p-2039, 
0x0092,0x1.2p-2039, 
0x0093,0x1.3p-2039, 
0x0094,0x1.4p-2039, 
