codepoint,sprintf_a,subnormal
0x0000,0x0p+0, 
0x0001,0x0.8p-12,*
0x0002,0x0.1p-8,*
0x0003,0x0.18p-8,*
0x0004,0x0.2p-8,*
0x0005,0x0.28p-8,*
0x0006,0x0.3p-8,*
0x0007,0x0.38p-8,*
0x0008,0x0.4p-8,*
0x0009,0x0.48p-8,*
0x000a,0x0.5p-8,*
0x000b,0x0.58p-8,*
0x000c,0x0.6p-8,*
0x000d,0x0.68p-8,*
0x000e,0x0.7p-8,*
0x000f,0x0.78p-8,*
0x0010,0x0.8p-8,*
0x0011,0x0.88p-8,*
0x0012,0x0.9p-8,*
0x0013,0x0.98p-8,*
0x0014,0x0.ap-8,*
0x0015,0x0.a8p-8,*
0x0016,0x0.bp-8,*
0x0017,0x0.b8p-8,*
0x0018,0x0.cp-8,*
0x0019,0x0.c8p-8,*
0x001a,0x0.dp-8,*
0x001b,0x0.d8p-8,*
0x001c,0x0.ep-8,*
0x001d,0x0.e8p-8,*
0x001e,0x0.fp-8,*
0x001f,0x0.f8p-8,*
0x0020,0x0.1p-4,*
0x0021,0x0.108p-4,*
0x0022,0x0.11p-4,*
0x0023,0x0.118p-4,*
0x0024,0x0.12p-4,*
0x0025,0x0.128p-4,*
0x0026,0x0.13p-4,*
0x0027,0x0.138p-4,*
0x0028,0x0.14p-4,*
0x0029,0x0.148p-4,*
0x002a,0x0.15p-4,*
0x002b,0x0.158p-4,*
0x002c,0x0.16p-4,*
0x002d,0x0.168p-4,*
0x002e,0x0.17p-4,*
0x002f,0x0.178p-4,*
0x0030,0x0.18p-4,*
0x0031,0x0.188p-4,*
0x0032,0x0.19p-4,*
0x0033,0x0.198p-4,*
0x0034,0x0.1ap-4,*
0x0035,0x0.1a8p-4,*
0x0036,0x0.1bp-4,*
0x0037,0x0.1b8p-4,*
0x0038,0x0.1cp-4,*
0x0039,0x0.1c8p-4,*
0x003a,0x0.1dp-4,*
0x003b,0x0.1d8p-4,*
0x003c,0x0.1ep-4,*
0x003d,0x0.1e8p-4,*
0x003e,0x0.1fp-4,*
0x003f,0x0.1f8p-4,*
0x0040,0x0.2p-4,*
0x0041,0x0.208p-4,*
0x0042,0x0.21p-4,*
0x0043,0x0.218p-4,*
0x0044,0x0.22p-4,*
