codepoint,sprintf_a,subnormal
0x00,0x0p+0, 
0x01,0x0.1p-4,*
0x02,0x0.2p-4,*
0x03,0x0.3p-4,*
0x04,0x0.4p-4,*
0x05,0x0.5p-4,*
0x06,0x0.6p-4,*
0x07,0x0.7p-4,*
0x08,0x0.8p-4,*
0x09,0x0.9p-4,*
0x0a,0x0.ap-4,*
0x0b,0x0.bp-4,*
0x0c,0x0.cp-4,*
0x0d,0x0.dp-4,*
0x0e,0x0.ep-4,*
0x0f,0x0.fp-4,*
0x10,0x0.1p+0,*
0x11,0x0.11p+0,*
0x12,0x0.12p+0,*
0x13,0x0.13p+0,*
0x14,0x0.14p+0,*
0x15,0x0.15p+0,*
0x16,0x0.16p+0,*
0x17,0x0.17p+0,*
0x18,0x0.18p+0,*
0x19,0x0.19p+0,*
0x1a,0x0.1ap+0,*
0x1b,0x0.1bp+0,*
0x1c,0x0.1cp+0,*
0x1d,0x0.1dp+0,*
0x1e,0x0.1ep+0,*
0x1f,0x0.1fp+0,*
0x20,0x1p-3, 
0x21,0x1.08p-3, 
0x22,0x1.1p-3, 
0x23,0x1.18p-3, 
0x24,0x1.2p-3, 
0x25,0x1.28p-3, 
0x26,0x1.3p-3, 
0x27,0x1.38p-3, 
0x28,0x1.4p-3, 
0x29,0x1.48p-3, 
0x2a,0x1.5p-3, 
0x2b,0x1.58p-3, 
0x2c,0x1.6p-3, 
0x2d,0x1.68p-3, 
0x2e,0x1.7p-3, 
0x2f,0x1.78p-3, 
0x30,0x1.8p-3, 
0x31,0x1.88p-3, 
0x32,0x1.9p-3, 
0x33,0x1.98p-3, 
0x34,0x1.ap-3, 
0x35,0x1.a8p-3, 
0x36,0x1.bp-3, 
0x37,0x1.b8p-3, 
0x38,0x1.cp-3, 
0x39,0x1.c8p-3, 
0x3a,0x1.dp-3, 
0x3b,0x1.d8p-3, 
0x3c,0x1.ep-3, 
0x3d,0x1.e8p-3, 
0x3e,0x1.fp-3, 
0x3f,0x1.f8p-3, 
0x40,0x1p-2, 
0x41,0x1.08p-2, 
0x42,0x1.1p-2, 
0x43,0x1.18p-2, 
0x44,0x1.2p-2, 
0x45,0x1.28p-2, 
0x46,0x1.3p-2, 
0x47,0x1.38p-2, 
0x48,0x1.4p-2, 
0x49,0x1.48p-2, 
0x4a,0x1.5p-2, 
0x4b,0x1.58p-2, 
0x4c,0x1.6p-2, 
0x4d,0x1.68p-2, 
0x4e,0x1.7p-2, 
0x4f,0x1.78p-2, 
0x50,0x1.8p-2, 
0x51,0x1.88p-2, 
0x52,0x1.9p-2, 
0x53,0x1.98p-2, 
0x54,0x1.ap-2, 
0x55,0x1.a8p-2, 
0x56,0x1.bp-2, 
0x57,0x1.b8p-2, 
0x58,0x1.cp-2, 
0x59,0x1.c8p-2, 
0x5a,0x1.dp-2, 
0x5b,0x1.d8p-2, 
0x5c,0x1.ep-2, 
0x5d,0x1.e8p-2, 
0x5e,0x1.fp-2, 
0x5f,0x1.f8p-2, 
0x60,0x1p-1, 
0x61,0x1.08p-1, 
0x62,0x1.1p-1, 
0x63,0x1.18p-1, 
0x64,0x1.2p-1, 
0x65,0x1.28p-1, 
0x66,0x1.3p-1, 
0x67,0x1.38p-1, 
0x68,0x1.4p-1, 
0x69,0x1.48p-1, 
0x6a,0x1.5p-1, 
0x6b,0x1.58p-1, 
0x6c,0x1.6p-1, 
0x6d,0x1.68p-1, 
0x6e,0x1.7p-1, 
0x6f,0x1.78p-1, 
0x70,0x1.8p-1, 
0x71,0x1.88p-1, 
0x72,0x1.9p-1, 
0x73,0x1.98p-1, 
0x74,0x1.ap-1, 
0x75,0x1.a8p-1, 
0x76,0x1.bp-1, 
0x77,0x1.b8p-1, 
0x78,0x1.cp-1, 
0x79,0x1.c8p-1, 
0x7a,0x1.dp-1, 
0x7b,0x1.d8p-1, 
0x7c,0x1.ep-1, 
0x7d,0x1.e8p-1, 
0x7e,0x1.fp-1, 
0x7f,0x1.f8p-1, 
0x80,0x1p+0, 
0x81,0x1.08p+0, 
0x82,0x1.1p+0, 
0x83,0x1.18p+0, 
0x84,0x1.2p+0, 
0x85,0x1.28p+0, 
0x86,0x1.3p+0, 
0x87,0x1.38p+0, 
0x88,0x1.4p+0, 
0x89,0x1.48p+0, 
0x8a,0x1.5p+0, 
0x8b,0x1.58p+0, 
0x8c,0x1.6p+0, 
0x8d,0x1.68p+0, 
0x8e,0x1.7p+0, 
0x8f,0x1.78p+0, 
0x90,0x1.8p+0, 
0x91,0x1.88p+0, 
0x92,0x1.9p+0, 
0x93,0x1.98p+0, 
0x94,0x1.ap+0, 
0x95,0x1.a8p+0, 
0x96,0x1.bp+0, 
0x97,0x1.b8p+0, 
0x98,0x1.cp+0, 
0x99,0x1.c8p+0, 
0x9a,0x1.dp+0, 
0x9b,0x1.d8p+0, 
0x9c,0x1.ep+0, 
0x9d,0x1.e8p+0, 
0x9e,0x1.fp+0, 
0x9f,0x1.f8p+0, 
0xa0,0x1p+1, 
0xa1,0x1.08p+1, 
0xa2,0x1.1p+1, 
0xa3,0x1.18p+1, 
0xa4,0x1.2p+1, 
0xa5,0x1.28p+1, 
0xa6,0x1.3p+1, 
0xa7,0x1.38p+1, 
0xa8,0x1.4p+1, 
0xa9,0x1.48p+1, 
0xaa,0x1.5p+1, 
0xab,0x1.58p+1, 
0xac,0x1.6p+1, 
0xad,0x1.68p+1, 
0xae,0x1.7p+1, 
0xaf,0x1.78p+1, 
0xb0,0x1.8p+1, 
0xb1,0x1.88p+1, 
0xb2,0x1.9p+1, 
0xb3,0x1.98p+1, 
0xb4,0x1.ap+1, 
0xb5,0x1.a8p+1, 
0xb6,0x1.bp+1, 
0xb7,0x1.b8p+1, 
0xb8,0x1.cp+1, 
0xb9,0x1.c8p+1, 
0xba,0x1.dp+1, 
0xbb,0x1.d8p+1, 
0xbc,0x1.ep+1, 
