codepoint,value,subnormal
0x0000,0x0p+0, 
0x0001,0x0.8p-40,*
0x0002,0x0.1p-36,*
0x0003,0x0.18p-36,*
0x0004,0x0.2p-36,*
0x0005,0x0.28p-36,*
0x0006,0x0.3p-36,*
0x0007,0x0.38p-36,*
0x0008,0x0.4p-36,*
0x0009,0x0.48p-36,*
0x000a,0x0.5p-36,*
0x000b,0x0.58p-36,*
0x000c,0x0.6p-36,*
0x000d,0x0.68p-36,*
0x000e,0x0.7p-36,*
0x000f,0x0.78p-36,*
0x0010,0x0.8p-36,*
0x0011,0x0.88p-36,*
0x0012,0x0.9p-36,*
0x0013,0x0.98p-36,*
0x0014,0x0.ap-36,*
0x0015,0x0.a8p-36,*
0x0016,0x0.bp-36,*
0x0017,0x0.b8p-36,*
0x0018,0x0.cp-36,*
0x0019,0x0.c8p-36,*
0x001a,0x0.dp-36,*
0x001b,0x0.d8p-36,*
0x001c,0x0.ep-36,*
0x001d,0x0.e8p-36,*
0x001e,0x0.fp-36,*
0x001f,0x0.f8p-36,*
0x0020,0x0.1p-32,*
0x0021,0x0.108p-32,*
0x0022,0x0.11p-32,*
0x0023,0x0.118p-32,*
0x0024,0x0.12p-32,*
0x0025,0x0.128p-32,*
0x0026,0x0.13p-32,*
0x0027,0x0.138p-32,*
0x0028,0x0.14p-32,*
0x0029,0x0.148p-32,*
0x002a,0x0.15p-32,*
0x002b,0x0.158p-32,*
0x002c,0x0.16p-32,*
0x002d,0x0.168p-32,*
0x002e,0x0.17p-32,*
0x002f,0x0.178p-32,*
0x0030,0x0.18p-32,*
0x0031,0x0.188p-32,*
0x0032,0x0.19p-32,*
0x0033,0x0.198p-32,*
0x0034,0x0.1ap-32,*
0x0035,0x0.1a8p-32,*
0x0036,0x0.1bp-32,*
0x0037,0x0.1b8p-32,*
0x0038,0x0.1cp-32,*
0x0039,0x0.1c8p-32,*
0x003a,0x0.1dp-32,*
0x003b,0x0.1d8p-32,*
0x003c,0x0.1ep-32,*
0x003d,0x0.1e8p-32,*
0x003e,0x0.1fp-32,*
0x003f,0x0.1f8p-32,*
0x0040,0x0.2p-32,*
0x0041,0x0.208p-32,*
0x0042,0x0.21p-32,*
0x0043,0x0.218p-32,*
0x0044,0x0.22p-32,*
0x0045,0x0.228p-32,*
0x0046,0x0.23p-32,*
0x0047,0x0.238p-32,*
0x0048,0x0.24p-32,*
0x0049,0x0.248p-32,*
0x004a,0x0.25p-32,*
0x004b,0x0.258p-32,*
0x004c,0x0.26p-32,*
0x004d,0x0.268p-32,*
0x004e,0x0.27p-32,*
0x004f,0x0.278p-32,*
0x0050,0x0.28p-32,*
0x0051,0x0.288p-32,*
0x0052,0x0.29p-32,*
0x0053,0x0.298p-32,*
0x0054,0x0.2ap-32,*
0x0055,0x0.2a8p-32,*
0x0056,0x0.2bp-32,*
0x0057,0x0.2b8p-32,*
0x0058,0x0.2cp-32,*
0x0059,0x0.2c8p-32,*
0x005a,0x0.2dp-32,*
0x005b,0x0.2d8p-32,*
0x005c,0x0.2ep-32,*
0x005d,0x0.2e8p-32,*
0x005e,0x0.2fp-32,*
0x005f,0x0.2f8p-32,*
0x0060,0x0.3p-32,*
0x0061,0x0.308p-32,*
0x0062,0x0.31p-32,*
0x0063,0x0.318p-32,*
0x0064,0x0.32p-32,*
0x0065,0x0.328p-32,*
0x0066,0x0.33p-32,*
0x0067,0x0.338p-32,*
0x0068,0x0.34p-32,*
0x0069,0x0.348p-32,*
0x006a,0x0.35p-32,*
0x006b,0x0.358p-32,*
0x006c,0x0.36p-32,*
0x006d,0x0.368p-32,*
0x006e,0x0.37p-32,*
0x006f,0x0.378p-32,*
0x0070,0x0.38p-32,*
0x0071,0x0.388p-32,*
0x0072,0x0.39p-32,*
0x0073,0x0.398p-32,*
0x0074,0x0.3ap-32,*
0x0075,0x0.3a8p-32,*
0x0076,0x0.3bp-32,*
0x0077,0x0.3b8p-32,*
0x0078,0x0.3cp-32,*
0x0079,0x0.3c8p-32,*
0x007a,0x0.3dp-32,*
0x007b,0x0.3d8p-32,*
0x007c,0x0.3ep-32,*
0x007d,0x0.3e8p-32,*
0x007e,0x0.3fp-32,*
0x007f,0x0.3f8p-32,*
0x0080,0x0.4p-32,*
0x0081,0x0.408p-32,*
0x0082,0x0.41p-32,*
0x0083,0x0.418p-32,*
0x0084,0x0.42p-32,*
0x0085,0x0.428p-32,*
0x0086,0x0.43p-32,*
0x0087,0x0.438p-32,*
0x0088,0x0.44p-32,*
0x0089,0x0.448p-32,*
0x008a,0x0.45p-32,*
0x008b,0x0.458p-32,*
0x008c,0x0.46p-32,*
0x008d,0x0.468p-32,*
0x008e,0x0.47p-32,*
0x008f,0x0.478p-32,*
0x0090,0x0.48p-32,*
0x0091,0x0.488p-32,*
0x0092,0x0.49p-32,*
0x0093,0x0.498p-32,*
0x0094,0x0.4ap-32,*
0x0095,0x0.4a8p-32,*
0x0096,0x0.4bp-32,*
0x0097,0x0.4b8p-32,*
0x0098,0x0.4cp-32,*
0x0099,0x0.4c8p-32,*
0x009a,0x0.4dp-32,*
0x009b,0x0.4d8p-32,*
0x009c,0x0.4ep-32,*
0x009d,0x0.4e8p-32,*
0x009e,0x0.4fp-32,*
0x009f,0x0.4f8p-32,*
0x00a0,0x0.5p-32,*
0x00a1,0x0.508p-32,*
0x00a2,0x0.51p-32,*
0x00a3,0x0.518p-32,*
0x00a4,0x0.52p-32,*
0x00a5,0x0.528p-32,*
0x00a6,0x0.53p-32,*
0x00a7,0x0.538p-32,*
0x00a8,0x0.54p-32,*
0x00a9,0x0.548p-32,*
0x00aa,0x0.55p-32,*
0x00ab,0x0.558p-32,*
0x00ac,0x0.56p-32,*
0x00ad,0x0.568p-32,*
0x00ae,0x0.57p-32,*
0x00af,0x0.578p-32,*
0x00b0,0x0.58p-32,*
0x00b1,0x0.588p-32,*
0x00b2,0x0.59p-32,*
0x00b3,0x0.598p-32,*
0x00b4,0x0.5ap-32,*
0x00b5,0x0.5a8p-32,*
0x00b6,0x0.5bp-32,*
0x00b7,0x0.5b8p-32,*
0x00b8,0x0.5cp-32,*
0x00b9,0x0.5c8p-32,*
0x00ba,0x0.5dp-32,*
0x00bb,0x0.5d8p-32,*
0x00bc,0x0.5ep-32,*
0x00bd,0x0.5e8p-32,*
0x00be,0x0.5fp-32,*
0x00bf,0x0.5f8p-32,*
0x00c0,0x0.6p-32,*
0x00c1,0x0.608p-32,*
0x00c2,0x0.61p-32,*
0x00c3,0x0.618p-32,*
0x00c4,0x0.62p-32,*
0x00c5,0x0.628p-32,*
0x00c6,0x0.63p-32,*
0x00c7,0x0.638p-32,*
0x00c8,0x0.64p-32,*
0x00c9,0x0.648p-32,*
0x00ca,0x0.65p-32,*
0x00cb,0x0.658p-32,*
0x00cc,0x0.66p-32,*
0x00cd,0x0.668p-32,*
0x00ce,0x0.67p-32,*
0x00cf,0x0.678p-32,*
0x00d0,0x0.68p-32,*
0x00d1,0x0.688p-32,*
0x00d2,0x0.69p-32,*
0x00d3,0x0.698p-32,*
0x00d4,0x0.6ap-32,*
0x00d5,0x0.6a8p-32,*
0x00d6,0x0.6bp-32,*
0x00d7,0x0.6b8p-32,*
0x00d8,0x0.6cp-32,*
0x00d9,0x0.6c8p-32,*
0x00da,0x0.6dp-32,*
0x00db,0x0.6d8p-32,*
0x00dc,0x0.6ep-32,*
0x00dd,0x0.6e8p-32,*
0x00de,0x0.6fp-32,*
0x00df,0x0.6f8p-32,*
0x00e0,0x0.7p-32,*
0x00e1,0x0.708p-32,*
0x00e2,0x0.71p-32,*
0x00e3,0x0.718p-32,*
0x00e4,0x0.72p-32,*
0x00e5,0x0.728p-32,*
0x00e6,0x0.73p-32,*
0x00e7,0x0.738p-32,*
0x00e8,0x0.74p-32,*
0x00e9,0x0.748p-32,*
0x00ea,0x0.75p-32,*
0x00eb,0x0.758p-32,*
0x00ec,0x0.76p-32,*
0x00ed,0x0.768p-32,*
0x00ee,0x0.77p-32,*
0x00ef,0x0.778p-32,*
0x00f0,0x0.78p-32,*
0x00f1,0x0.788p-32,*
0x00f2,0x0.79p-32,*
0x00f3,0x0.798p-32,*
0x00f4,0x0.7ap-32,*
0x00f5,0x0.7a8p-32,*
0x00f6,0x0.7bp-32,*
0x00f7,0x0.7b8p-32,*
0x00f8,0x0.7cp-32,*
0x00f9,0x0.7c8p-32,*
0x00fa,0x0.7dp-32,*
0x00fb,0x0.7d8p-32,*
0x00fc,0x0.7ep-32,*
0x00fd,0x0.7e8p-32,*
0x00fe,0x0.7fp-32,*
0x00ff,0x0.7f8p-32,*
0x0100,0x0.8p-32,*
0x0101,0x0.808p-32,*
0x0102,0x0.81p-32,*
0x0103,0x0.818p-32,*
0x0104,0x0.82p-32,*
0x0105,0x0.828p-32,*
0x0106,0x0.83p-32,*
0x0107,0x0.838p-32,*
0x0108,0x0.84p-32,*
0x0109,0x0.848p-32,*
0x010a,0x0.85p-32,*
0x010b,0x0.858p-32,*
0x010c,0x0.86p-32,*
0x010d,0x0.868p-32,*
0x010e,0x0.87p-32,*
0x010f,0x0.878p-32,*
0x0110,0x0.88p-32,*
0x0111,0x0.888p-32,*
0x0112,0x0.89p-32,*
0x0113,0x0.898p-32,*
0x0114,0x0.8ap-32,*
0x0115,0x0.8a8p-32,*
0x0116,0x0.8bp-32,*
0x0117,0x0.8b8p-32,*
0x0118,0x0.8cp-32,*
0x0119,0x0.8c8p-32,*
0x011a,0x0.8dp-32,*
0x011b,0x0.8d8p-32,*
0x011c,0x0.8ep-32,*
0x011d,0x0.8e8p-32,*
0x011e,0x0.8fp-32,*
0x011f,0x0.8f8p-32,*
0x0120,0x0.9p-32,*
0x0121,0x0.908p-32,*
0x0122,0x0.91p-32,*
0x0123,0x0.918p-32,*
0x0124,0x0.92p-32,*
0x0125,0x0.928p-32,*
0x0126,0x0.93p-32,*
0x0127,0x0.938p-32,*
0x0128,0x0.94p-32,*
0x0129,0x0.948p-32,*
0x012a,0x0.95p-32,*
0x012b,0x0.958p-32,*
0x012c,0x0.96p-32,*
0x012d,0x0.968p-32,*
0x012e,0x0.97p-32,*
0x012f,0x0.978p-32,*
0x0130,0x0.98p-32,*
0x0131,0x0.988p-32,*
0x0132,0x0.99p-32,*
0x0133,0x0.998p-32,*
0x0134,0x0.9ap-32,*
0x0135,0x0.9a8p-32,*
0x0136,0x0.9bp-32,*
0x0137,0x0.9b8p-32,*
0x0138,0x0.9cp-32,*
0x0139,0x0.9c8p-32,*
0x013a,0x0.9dp-32,*
0x013b,0x0.9d8p-32,*
0x013c,0x0.9ep-32,*
0x013d,0x0.9e8p-32,*
0x013e,0x0.9fp-32,*
0x013f,0x0.9f8p-32,*
0x0140,0x0.ap-32,*
0x0141,0x0.a08p-32,*
0x0142,0x0.a1p-32,*
0x0143,0x0.a18p-32,*
0x0144,0x0.a2p-32,*
0x0145,0x0.a28p-32,*
0x0146,0x0.a3p-32,*
0x0147,0x0.a38p-32,*
0x0148,0x0.a4p-32,*
0x0149,0x0.a48p-32,*
0x014a,0x0.a5p-32,*
0x014b,0x0.a58p-32,*
0x014c,0x0.a6p-32,*
0x014d,0x0.a68p-32,*
0x014e,0x0.a7p-32,*
0x014f,0x0.a78p-32,*
0x0150,0x0.a8p-32,*
0x0151,0x0.a88p-32,*
0x0152,0x0.a9p-32,*
