codepoint,values,subnormal
0x004a,0x0.94p-12,*
0x004b,0x0.96p-12,*
0x004c,0x0.98p-12,*
0x004d,0x0.9ap-12,*
0x004e,0x0.9cp-12,*
0x004f,0x0.9ep-12,*
0x0050,0x0.ap-12,*
0x0051,0x0.a2p-12,*
0x0052,0x0.a4p-12,*
0x0053,0x0.a6p-12,*
0x0054,0x0.a8p-12,*
0x0055,0x0.aap-12,*
0x0056,0x0.acp-12,*
0x0057,0x0.aep-12,*
0x0058,0x0.bp-12,*
0x0059,0x0.b2p-12,*
0x005a,0x0.b4p-12,*
0x005b,0x0.b6p-12,*
0x005c,0x0.b8p-12,*
0x005d,0x0.bap-12,*
0x005e,0x0.bcp-12,*
0x005f,0x0.bep-12,*
0x0060,0x0.cp-12,*
0x0061,0x0.c2p-12,*
0x0062,0x0.c4p-12,*
0x0063,0x0.c6p-12,*
0x0064,0x0.c8p-12,*
0x0065,0x0.cap-12,*
0x0066,0x0.ccp-12,*
0x0067,0x0.cep-12,*
0x0068,0x0.dp-12,*
0x0069,0x0.d2p-12,*
0x006a,0x0.d4p-12,*
0x006b,0x0.d6p-12,*
0x006c,0x0.d8p-12,*
0x006d,0x0.dap-12,*
0x006e,0x0.dcp-12,*
0x006f,0x0.dep-12,*
0x0070,0x0.ep-12,*
0x0071,0x0.e2p-12,*
0x0072,0x0.e4p-12,*
0x0073,0x0.e6p-12,*
0x0074,0x0.e8p-12,*
0x0075,0x0.eap-12,*
0x0076,0x0.ecp-12,*
0x0077,0x0.eep-12,*
0x0078,0x0.fp-12,*
0x0079,0x0.f2p-12,*
0x007a,0x0.f4p-12,*
0x007b,0x0.f6p-12,*
0x007c,0x0.f8p-12,*
0x007d,0x0.fap-12,*
0x007e,0x0.fcp-12,*
0x007f,0x0.fep-12,*
0x0080,0x0.1p-8,*
0x0081,0x0.102p-8,*
0x0082,0x0.104p-8,*
0x0083,0x0.106p-8,*
0x0084,0x0.108p-8,*
0x0085,0x0.10ap-8,*
0x0086,0x0.10cp-8,*
0x0087,0x0.10ep-8,*
0x0088,0x0.11p-8,*
0x0089,0x0.112p-8,*
0x008a,0x0.114p-8,*
0x008b,0x0.116p-8,*
0x008c,0x0.118p-8,*
0x008d,0x0.11ap-8,*
0x008e,0x0.11cp-8,*
0x008f,0x0.11ep-8,*
0x0090,0x0.12p-8,*
0x0091,0x0.122p-8,*
0x0092,0x0.124p-8,*
0x0093,0x0.126p-8,*
0x0094,0x0.128p-8,*
0x0095,0x0.12ap-8,*
0x0096,0x0.12cp-8,*
0x0097,0x0.12ep-8,*
0x0098,0x0.13p-8,*
0x0099,0x0.132p-8,*
0x009a,0x0.134p-8,*
0x009b,0x0.136p-8,*
0x009c,0x0.138p-8,*
0x009d,0x0.13ap-8,*
0x009e,0x0.13cp-8,*
0x009f,0x0.13ep-8,*
0x00a0,0x0.14p-8,*
0x00a1,0x0.142p-8,*
0x00a2,0x0.144p-8,*
0x00a3,0x0.146p-8,*
0x00a4,0x0.148p-8,*
0x00a5,0x0.14ap-8,*
0x00a6,0x0.14cp-8,*
0x00a7,0x0.14ep-8,*
0x00a8,0x0.15p-8,*
0x00a9,0x0.152p-8,*
0x00aa,0x0.154p-8,*
0x00ab,0x0.156p-8,*
0x00ac,0x0.158p-8,*
0x00ad,0x0.15ap-8,*
0x00ae,0x0.15cp-8,*
0x00af,0x0.15ep-8,*
0x00b0,0x0.16p-8,*
0x00b1,0x0.162p-8,*
0x00b2,0x0.164p-8,*
0x00b3,0x0.166p-8,*
0x00b4,0x0.168p-8,*
0x00b5,0x0.16ap-8,*
0x00b6,0x0.16cp-8,*
0x00b7,0x0.16ep-8,*
0x00b8,0x0.17p-8,*
0x00b9,0x0.172p-8,*
0x00ba,0x0.174p-8,*
0x00bb,0x0.176p-8,*
0x00bc,0x0.178p-8,*
0x00bd,0x0.17ap-8,*
0x00be,0x0.17cp-8,*
0x00bf,0x0.17ep-8,*
0x00c0,0x0.18p-8,*
0x00c1,0x0.182p-8,*
0x00c2,0x0.184p-8,*
0x00c3,0x0.186p-8,*
0x00c4,0x0.188p-8,*
0x00c5,0x0.18ap-8,*
0x00c6,0x0.18cp-8,*
0x00c7,0x0.18ep-8,*
0x00c8,0x0.19p-8,*
0x00c9,0x0.192p-8,*
0x00ca,0x0.194p-8,*
0x00cb,0x0.196p-8,*
0x00cc,0x0.198p-8,*
0x00cd,0x0.19ap-8,*
0x00ce,0x0.19cp-8,*
0x00cf,0x0.19ep-8,*
0x00d0,0x0.1ap-8,*
0x00d1,0x0.1a2p-8,*
0x00d2,0x0.1a4p-8,*
0x00d3,0x0.1a6p-8,*
0x00d4,0x0.1a8p-8,*
0x00d5,0x0.1aap-8,*
0x00d6,0x0.1acp-8,*
0x00d7,0x0.1aep-8,*
0x00d8,0x0.1bp-8,*
