codepoint,sprintf_a,subnormal
0x0000,0x0p+0, 
0x0001,0x1p-32767, 
0x0002,0x1p-32766, 
0x0003,0x1p-32765, 
0x0004,0x1p-32764, 
0x0005,0x1p-32763, 
0x0006,0x1p-32762, 
0x0007,0x1p-32761, 
0x0008,0x1p-32760, 
0x0009,0x1p-32759, 
0x000a,0x1p-32758, 
0x000b,0x1p-32757, 
0x000c,0x1p-32756, 
0x000d,0x1p-32755, 
0x000e,0x1p-32754, 
0x000f,0x1p-32753, 
0x0010,0x1p-32752, 
0x0011,0x1p-32751, 
0x0012,0x1p-32750, 
0x0013,0x1p-32749, 
0x0014,0x1p-32748, 
0x0015,0x1p-32747, 
0x0016,0x1p-32746, 
0x0017,0x1p-32745, 
0x0018,0x1p-32744, 
0x0019,0x1p-32743, 
0x001a,0x1p-32742, 
0x001b,0x1p-32741, 
0x001c,0x1p-32740, 
0x001d,0x1p-32739, 
0x001e,0x1p-32738, 
0x001f,0x1p-32737, 
0x0020,0x1p-32736, 
0x0021,0x1p-32735, 
0x0022,0x1p-32734, 
0x0023,0x1p-32733, 
0x0024,0x1p-32732, 
0x0025,0x1p-32731, 
0x0026,0x1p-32730, 
0x0027,0x1p-32729, 
0x0028,0x1p-32728, 
0x0029,0x1p-32727, 
0x002a,0x1p-32726, 
0x002b,0x1p-32725, 
0x002c,0x1p-32724, 
0x002d,0x1p-32723, 
0x002e,0x1p-32722, 
0x002f,0x1p-32721, 
0x0030,0x1p-32720, 
0x0031,0x1p-32719, 
0x0032,0x1p-32718, 
0x0033,0x1p-32717, 
0x0034,0x1p-32716, 
0x0035,0x1p-32715, 
0x0036,0x1p-32714, 
0x0037,0x1p-32713, 
0x0038,0x1p-32712, 
0x0039,0x1p-32711, 
0x003a,0x1p-32710, 
0x003b,0x1p-32709, 
0x003c,0x1p-32708, 
0x003d,0x1p-32707, 
0x003e,0x1p-32706, 
0x003f,0x1p-32705, 
0x0040,0x1p-32704, 
0x0041,0x1p-32703, 
0x0042,0x1p-32702, 
0x0043,0x1p-32701, 
0x0044,0x1p-32700, 
0x0045,0x1p-32699, 
0x0046,0x1p-32698, 
0x0047,0x1p-32697, 
0x0048,0x1p-32696, 
0x0049,0x1p-32695, 
0x004a,0x1p-32694, 
0x004b,0x1p-32693, 
0x004c,0x1p-32692, 
0x004d,0x1p-32691, 
0x004e,0x1p-32690, 
0x004f,0x1p-32689, 
0x0050,0x1p-32688, 
0x0051,0x1p-32687, 
0x0052,0x1p-32686, 
0x0053,0x1p-32685, 
0x0054,0x1p-32684, 
0x0055,0x1p-32683, 
0x0056,0x1p-32682, 
0x0057,0x1p-32681, 
0x0058,0x1p-32680, 
0x0059,0x1p-32679, 
0x005a,0x1p-32678, 
0x005b,0x1p-32677, 
0x005c,0x1p-32676, 
0x005d,0x1p-32675, 
0x005e,0x1p-32674, 
0x005f,0x1p-32673, 
0x0060,0x1p-32672, 
0x0061,0x1p-32671, 
0x0062,0x1p-32670, 
0x0063,0x1p-32669, 
0x0064,0x1p-32668, 
0x0065,0x1p-32667, 
0x0066,0x1p-32666, 
0x0067,0x1p-32665, 
0x0068,0x1p-32664, 
0x0069,0x1p-32663, 
0x006a,0x1p-32662, 
0x006b,0x1p-32661, 
0x006c,0x1p-32660, 
0x006d,0x1p-32659, 
0x006e,0x1p-32658, 
0x006f,0x1p-32657, 
0x0070,0x1p-32656, 
0x0071,0x1p-32655, 
0x0072,0x1p-32654, 
0x0073,0x1p-32653, 
0x0074,0x1p-32652, 
0x0075,0x1p-32651, 
0x0076,0x1p-32650, 
0x0077,0x1p-32649, 
0x0078,0x1p-32648, 
0x0079,0x1p-32647, 
0x007a,0x1p-32646, 
0x007b,0x1p-32645, 
0x007c,0x1p-32644, 
0x007d,0x1p-32643, 
0x007e,0x1p-32642, 
0x007f,0x1p-32641, 
0x0080,0x1p-32640, 
0x0081,0x1p-32639, 
0x0082,0x1p-32638, 
0x0083,0x1p-32637, 
0x0084,0x1p-32636, 
0x0085,0x1p-32635, 
0x0086,0x1p-32634, 
0x0087,0x1p-32633, 
0x0088,0x1p-32632, 
0x0089,0x1p-32631, 
0x008a,0x1p-32630, 
0x008b,0x1p-32629, 
0x008c,0x1p-32628, 
0x008d,0x1p-32627, 
0x008e,0x1p-32626, 
0x008f,0x1p-32625, 
0x0090,0x1p-32624, 
0x0091,0x1p-32623, 
0x0092,0x1p-32622, 
0x0093,0x1p-32621, 
0x0094,0x1p-32620, 
0x0095,0x1p-32619, 
0x0096,0x1p-32618, 
0x0097,0x1p-32617, 
0x0098,0x1p-32616, 
0x0099,0x1p-32615, 
0x009a,0x1p-32614, 
0x009b,0x1p-32613, 
0x009c,0x1p-32612, 
0x009d,0x1p-32611, 
0x009e,0x1p-32610, 
0x009f,0x1p-32609, 
0x00a0,0x1p-32608, 
0x00a1,0x1p-32607, 
0x00a2,0x1p-32606, 
0x00a3,0x1p-32605, 
0x00a4,0x1p-32604, 
0x00a5,0x1p-32603, 
0x00a6,0x1p-32602, 
0x00a7,0x1p-32601, 
0x00a8,0x1p-32600, 
0x00a9,0x1p-32599, 
0x00aa,0x1p-32598, 
0x00ab,0x1p-32597, 
0x00ac,0x1p-32596, 
0x00ad,0x1p-32595, 
0x00ae,0x1p-32594, 
0x00af,0x1p-32593, 
0x00b0,0x1p-32592, 
0x00b1,0x1p-32591, 
0x00b2,0x1p-32590, 
0x00b3,0x1p-32589, 
0x00b4,0x1p-32588, 
0x00b5,0x1p-32587, 
0x00b6,0x1p-32586, 
0x00b7,0x1p-32585, 
0x00b8,0x1p-32584, 
0x00b9,0x1p-32583, 
0x00ba,0x1p-32582, 
0x00bb,0x1p-32581, 
0x00bc,0x1p-32580, 
0x00bd,0x1p-32579, 
0x00be,0x1p-32578, 
0x00bf,0x1p-32577, 
0x00c0,0x1p-32576, 
0x00c1,0x1p-32575, 
0x00c2,0x1p-32574, 
0x00c3,0x1p-32573, 
0x00c4,0x1p-32572, 
0x00c5,0x1p-32571, 
0x00c6,0x1p-32570, 
0x00c7,0x1p-32569, 
0x00c8,0x1p-32568, 
0x00c9,0x1p-32567, 
0x00ca,0x1p-32566, 
0x00cb,0x1p-32565, 
0x00cc,0x1p-32564, 
0x00cd,0x1p-32563, 
0x00ce,0x1p-32562, 
0x00cf,0x1p-32561, 
0x00d0,0x1p-32560, 
